folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,Banana_freq,Banana_dur,Test_Banana_freq,Test_Banana_dur,Chocolate_freq,Chocolate_dur,Test_Chocolate_freq,Test_Chocolate_dur,counterbalancing,Pavlovian_cbx,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Chocolate_Levercbx,Banana_Levercbx,Stage,Schedule,Day,Test_Period
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,42,2460,2520,4,1.69999999999982,3,2.8799999999992,3,3.20000000000027,0,0,1,5,3,15,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,43,2520,2580,0,0,3,0.9399999999996,2,2.11999999999989,0,0,0,0,2,10,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,44,2580,2640,3,0.159999999999854,1,10.5799999999999,3,5.42000000000007,0,0,2,9.38000000000011,1,5,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,45,2640,2700,4,0.499999999999545,1,1.57999999999993,1,0.940000000000055,0,0,2,10.6199999999999,1,5,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,46,2700,2760,4,0.899999999999636,2,2.98000000000002,1,0.739999999999782,0,0,2,7.13999999999987,2,10,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat17.csv,17____,61,1,1,C,Marios,268,47,2760,2820,2,0.500000000000455,2,2.66000000000031,1,0.5,0,0,1,7.86000000000013,2,10,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Left,Right,Reinstatement,Test,Day15,Reinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,1,0,60,5,0.519999999999996,6,4.18,7,6.67999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,2,60,120,1,0.159999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,3,120,180,0,0,1,0.52000000000001,1,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,4,180,240,1,0.0800000000000125,1,2.80000000000001,7,6.47999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
