folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,sex,Instrumental_cbx,Pavlovian_cbx,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,DevaluedOutcome1,Stage,Schedule,Day
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat17.csv,17____,16,1,1,C,Marios,90,1,0,450,5,0.959999999999923,2,1.27999999999997,0,0,0,0,2,10,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat17.csv,17____,16,1,1,C,Marios,90,2,450,900,15,6.27999999999986,4,13.84,0,0,0,0,5,25,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat17.csv,17____,16,1,1,C,Marios,90,3,900,1350,16,9.25999999999976,1,1.98000000000002,0,0,0,0,6,30,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat17.csv,17____,16,1,1,C,Marios,90,4,1350,1800,16,6.61999999999966,0,0,0,0,0,0,4,20,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,1,0,450,12,1.25999999999998,29,25.2200000000001,0,0,0,0,5,25,10,50,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,2,450,900,4,14.0599999999999,6,11.7800000000001,0,0,0,0,1,5,3,15,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,3,900,1350,4,3.98000000000013,9,25.2799999999999,0,0,0,0,0,0,4,20,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,4,1350,1800,21,15.8399999999997,4,8.77999999999975,0,0,0,0,6,30,1,5,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat21.csv,21____,16,4,1,C,Marios,90,1,0,450,1,0.399999999999999,1,3.02,0,0,0,0,1,5,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat21.csv,21____,16,4,1,C,Marios,90,2,450,900,0,0,0,0,0,0,0,0,0,0,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
