folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Pavlovian_cbx,DevaluedOutcome1,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Stage,Schedule,Day,DevaluedOutcome,Test_Period
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,22,1260,1320,0,0,1,1.86000000000013,5,1.40000000000009,0,0,0,0,1,5,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,1,0,60,0,0,1,2.82,2,0.299999999999997,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,2,60,120,1,0.0999999999999943,0,0,3,2.55999999999999,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,3,120,180,0,0,0,0,3,2.77999999999997,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,4,180,240,0,0,0,0,1,0.939999999999998,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,5,240,300,0,0,0,0,1,2.09999999999999,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,6,300,360,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,7,360,420,0,0,0,0,8,5.09999999999985,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,8,420,480,0,0,0,0,4,4.15999999999991,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,9,480,540,0,0,0,0,1,0.740000000000009,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,10,540,600,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,11,600,660,0,0,0,0,2,4.24000000000001,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,ITI
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,12,660,720,0,0,0,0,5,8.95999999999981,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,ITI
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,13,720,780,0,0,0,0,7,6.0999999999998,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,14,780,840,0,0,0,0,16,6.7600000000001,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,15,840,900,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,16,900,960,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,17,960,1020,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,18,1020,1080,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,19,1080,1140,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,20,1140,1200,0,0,0,0,3,4.39999999999986,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,21,1200,1260,0,0,0,0,1,3.40000000000009,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat21.csv,21____,54,4,1,C,Marios,235,22,1260,1320,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,1,0,60,10,2.9,3,2.62,1,0.34,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
