folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,6,300,360,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,7,360,420,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,10,540,600,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,11,600,660,1,0.200000000000045,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,12,660,720,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,13,720,780,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,14,780,840,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,15,840,900,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,16,900,960,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,17,960,1020,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,18,1020,1080,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,19,1080,1140,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,20,1140,1200,0,0,1,0.700000000000045,0,0,0,0,0,0,1,5,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,21,1200,1260,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,22,1260,1320,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
