Subj,Drug,time_mins,activity,bin5mins,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins,Period,Amph,LY
1_3,Veh_Veh,26,16,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,27,0,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,28,3,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,29,19,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,30,0,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
1_3,Veh_Veh,31,8,-5,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,32,33,-5,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,33,71,-5,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,34,14,-5,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,35,47,-5,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,36,35,-4,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,37,22,-4,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,38,9,-4,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,39,16,-4,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,40,19,-4,-2,-1,-1,0,0,habituation,Veh,Veh
1_3,Veh_Veh,41,47,-3,-1,-1,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,42,48,-3,-1,-1,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,43,53,-3,-1,-1,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,44,56,-3,-1,-1,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,45,45,-3,-1,-1,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,46,1,-2,-1,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,47,9,-2,-1,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,48,52,-2,-1,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,49,64,-2,-1,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,50,34,-2,-1,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,51,38,-1,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,52,36,-1,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,53,21,-1,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,54,48,-1,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,55,26,-1,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,56,5,0,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,57,0,0,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,58,0,0,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,59,31,0,0,0,0,0,0,habituation,Veh,Veh
1_3,Veh_Veh,60,16,0,0,0,0,0,0,habituation,Veh,Veh
1_4,Veh_LY,1,108,-11,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,2,82,-11,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,3,54,-11,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,4,104,-11,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,5,28,-11,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,6,69,-10,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,7,71,-10,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,8,30,-10,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,9,27,-10,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,10,21,-10,-5,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,11,42,-9,-4,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,12,77,-9,-4,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,13,53,-9,-4,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,14,44,-9,-4,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,15,23,-9,-4,-3,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,16,6,-8,-4,-2,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,17,19,-8,-4,-2,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,18,21,-8,-4,-2,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,19,65,-8,-4,-2,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,20,77,-8,-4,-2,-2,-1,0,habituation,Veh,LY
1_4,Veh_LY,21,76,-7,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,22,23,-7,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,23,4,-7,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,24,1,-7,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,25,6,-7,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,26,5,-6,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,27,26,-6,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,28,12,-6,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,29,13,-6,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,30,5,-6,-3,-2,-1,-1,0,habituation,Veh,LY
1_4,Veh_LY,31,18,-5,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,32,23,-5,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,33,42,-5,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,34,6,-5,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,35,4,-5,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,36,50,-4,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,37,77,-4,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,38,24,-4,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,39,15,-4,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,40,15,-4,-2,-1,-1,0,0,habituation,Veh,LY
1_4,Veh_LY,41,18,-3,-1,-1,0,0,0,habituation,Veh,LY
1_4,Veh_LY,42,41,-3,-1,-1,0,0,0,habituation,Veh,LY
1_4,Veh_LY,43,4,-3,-1,-1,0,0,0,habituation,Veh,LY
1_4,Veh_LY,44,1,-3,-1,-1,0,0,0,habituation,Veh,LY
1_4,Veh_LY,45,2,-3,-1,-1,0,0,0,habituation,Veh,LY
1_4,Veh_LY,46,1,-2,-1,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,47,0,-2,-1,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,48,2,-2,-1,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,49,2,-2,-1,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,50,17,-2,-1,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,51,23,-1,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,52,21,-1,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,53,53,-1,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,54,32,-1,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,55,19,-1,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,56,23,0,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,57,21,0,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,58,17,0,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,59,21,0,0,0,0,0,0,habituation,Veh,LY
1_4,Veh_LY,60,48,0,0,0,0,0,0,habituation,Veh,LY
2_1,Veh_Veh,1,142,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,2,135,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,3,23,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,4,143,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,5,99,-11,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,6,87,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,7,103,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,8,75,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,9,23,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,10,42,-10,-5,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,11,56,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,12,79,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,13,70,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,14,97,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,15,70,-9,-4,-3,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,16,87,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,17,87,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,18,77,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,19,95,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,20,72,-8,-4,-2,-2,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,21,112,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,22,95,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,23,40,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,24,48,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,25,38,-7,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,26,13,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,27,47,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,28,78,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,29,68,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,30,86,-6,-3,-2,-1,-1,0,habituation,Veh,Veh
2_1,Veh_Veh,31,88,-5,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,32,84,-5,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,33,111,-5,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,34,76,-5,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,35,73,-5,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,36,78,-4,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,37,36,-4,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,38,0,-4,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,39,41,-4,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,40,77,-4,-2,-1,-1,0,0,habituation,Veh,Veh
2_1,Veh_Veh,41,66,-3,-1,-1,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,42,78,-3,-1,-1,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,43,81,-3,-1,-1,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,44,60,-3,-1,-1,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,45,94,-3,-1,-1,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,46,62,-2,-1,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,47,44,-2,-1,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,48,36,-2,-1,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,49,47,-2,-1,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,50,89,-2,-1,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,51,19,-1,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,52,73,-1,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,53,89,-1,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,54,54,-1,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,55,18,-1,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,56,20,0,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,57,0,0,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,58,9,0,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,59,85,0,0,0,0,0,0,habituation,Veh,Veh
2_1,Veh_Veh,60,50,0,0,0,0,0,0,habituation,Veh,Veh
2_2,Veh_LY,1,120,-11,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,2,110,-11,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,3,144,-11,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,4,102,-11,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,5,104,-11,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,6,81,-10,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,7,78,-10,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,8,45,-10,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,9,49,-10,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,10,35,-10,-5,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,11,52,-9,-4,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,12,97,-9,-4,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,13,47,-9,-4,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,14,45,-9,-4,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,15,45,-9,-4,-3,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,16,18,-8,-4,-2,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,17,13,-8,-4,-2,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,18,10,-8,-4,-2,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,19,5,-8,-4,-2,-2,-1,0,habituation,Veh,LY
2_2,Veh_LY,20,21,-8,-4,-2,-2,-1,0,habituation,Veh,LY
