Voltage,drug,nA
0.587975952,LY,3.498710152
0.591382766,SAL,4.238920511
0.591382766,LY,3.515577098
0.594789579,SAL,4.269376179
0.594789579,LY,3.529488859
0.598196393,SAL,4.296645082
0.598196393,LY,3.540983869
0.601603206,SAL,4.320624343
0.601603206,LY,3.550513143
0.60501002,SAL,4.341401917
0.60501002,LY,3.558427737
0.608416834,SAL,4.359225413
0.608416834,LY,3.565042594
0.611823647,SAL,4.374260224
0.611823647,LY,3.570661983
0.615230461,SAL,4.38658256
0.615230461,LY,3.575629884
0.618637275,SAL,4.396233673
0.618637275,LY,3.580342656
0.622044088,SAL,4.4030321
0.622044088,LY,3.585061046
0.625450902,SAL,4.40662506
0.625450902,LY,3.589716725
0.628857715,SAL,4.406723492
0.628857715,LY,3.593939934
0.632264529,SAL,4.403069979
0.632264529,LY,3.597162518
0.63567134300000006,SAL,4.395474759
0.63567134300000006,LY,3.598655284
0.639078156,SAL,4.383960775
0.639078156,LY,3.597609167
0.64248497,SAL,4.368652099
0.64248497,LY,3.593257126
0.645891784,SAL,4.349718896
0.645891784,LY,3.584934829
0.649298597,SAL,4.327476402
0.649298597,LY,3.572184824
0.652705411,SAL,4.302298944
0.652705411,LY,3.554874302
0.656112224,SAL,4.274530455
0.656112224,LY,3.533087342
0.659519038,SAL,4.244514466
0.659519038,LY,3.50696122
0.662925852,SAL,4.212551196
0.662925852,LY,3.476765059
0.666332665,SAL,4.178864624
0.666332665,LY,3.442985495
0.669739479,SAL,4.143643537
0.669739479,LY,3.406209297
0.673146293,SAL,4.1070683
0.673146293,LY,3.367040519
0.676553106,SAL,4.069321298
0.676553106,LY,3.326115034
0.67995992,SAL,4.030598694
0.67995992,LY,3.284069535
0.683366733,SAL,3.991134557
0.683366733,LY,3.241561611
0.686773547,SAL,3.951121217
0.686773547,LY,3.19933626
0.690180361,SAL,3.910557881
0.690180361,LY,3.158166076
0.693587174,SAL,3.869316362
0.693587174,LY,3.11876168
0.696993988,SAL,3.827239414
0.696993988,LY,3.081716789
0.700400802,SAL,3.784099611
0.700400802,LY,3.047366448
0.703807615,SAL,3.739776742
0.703807615,LY,3.015661763
0.707214429,SAL,3.694418701
0.707214429,LY,2.986202487
0.710621242,SAL,3.648249184
0.710621242,LY,2.958330575
0.714028056,SAL,3.60152196
0.714028056,LY,2.931231704
0.71743487,SAL,3.554570644
0.71743487,LY,2.904091388
0.720841683,SAL,3.507546484
0.720841683,LY,2.876208545
0.724248497,SAL,3.460339987
0.724248497,LY,2.84700219
0.727655311,SAL,3.412805859
0.727655311,LY,2.816077031
0.731062124,SAL,3.364810859
0.731062124,LY,2.783321325
0.734468938,SAL,3.316263221
0.734468938,LY,2.748782539
0.737875752,SAL,3.267221658
0.737875752,LY,2.712468121
0.741282565,SAL,3.217856267
0.741282565,LY,2.674354021
0.744689379,SAL,3.168449491
0.744689379,LY,2.634413697
0.748096192,SAL,3.11944762
0.748096192,LY,2.592548661
0.751503006,SAL,3.071325046
0.751503006,LY,2.548655931
0.75490982,SAL,3.024438754
0.75490982,LY,2.502798057
0.758316633,SAL,2.979011859
0.758316633,LY,2.455274716
0.761723447,SAL,2.935139127
0.761723447,LY,2.406678505
0.765130261,SAL,2.892762619
0.765130261,LY,2.357944817
0.768537074,SAL,2.851643261
0.768537074,LY,2.310244731
0.771943888,SAL,2.811455874
0.771943888,LY,2.264795161
0.775350701,SAL,2.771930605
0.775350701,LY,2.222671376
0.778757515,SAL,2.732895233
0.778757515,LY,2.184572531
0.782164329,SAL,2.694365663
0.782164329,LY,2.150667798
0.785571142,SAL,2.656531086
0.785571142,LY,2.120636688
0.788977956,SAL,2.619519154
0.788977956,LY,2.093798116
0.79238477,SAL,2.583389252
0.79238477,LY,2.069291783
0.795791583,SAL,2.548187169
0.795791583,LY,2.04629916
0.799198397,SAL,2.513710144
0.799198397,LY,2.024145448
0.80260521,SAL,2.479505798
0.80260521,LY,2.002264029
0.806012024,SAL,2.445123376
0.806012024,LY,1.9802427949999999
0.809418838,SAL,2.410136909
0.809418838,LY,1.957919214
0.812825651,SAL,2.374197481
0.812825651,LY,1.935245314
0.816232465,SAL,2.337148492
0.816232465,LY,1.91206839
0.819639279,SAL,2.298903185
0.819639279,LY,1.888124159
0.823046092,SAL,2.259422461
0.823046092,LY,1.863088839
0.826452906,SAL,2.218852145
0.826452906,LY,1.836594705
0.829859719,SAL,2.1774455
0.829859719,LY,1.808359031
0.833266533,SAL,2.135444842
0.833266533,LY,1.778293892
0.836673347,SAL,2.093083476
0.836673347,LY,1.746488649
0.84008016,SAL,2.050552696
0.84008016,LY,1.713290033
0.843486974,SAL,2.007986142
0.843486974,LY,1.679429562
0.846893788,SAL,1.965518962
0.846893788,LY,1.645913996
0.850300601,SAL,1.923368019
0.850300601,LY,1.613784265
0.853707415,SAL,1.881868163
0.853707415,LY,1.583932617
0.857114228,SAL,1.841420884
0.857114228,LY,1.556917062
0.860521042,SAL,1.802443796
0.860521042,LY,1.532836949
0.863927856,SAL,1.765253517
0.863927856,LY,1.511362456
0.867334669,SAL,1.729889533
0.867334669,LY,1.491853388
0.870741483,SAL,1.696198558
0.870741483,LY,1.47360588
0.874148297,SAL,1.6640005
0.874148297,LY,1.456136934
0.87755511,SAL,1.633077907
0.87755511,LY,1.439215266
0.880961924,SAL,1.603316276
0.880961924,LY,1.422708075
0.884368737,SAL,1.574822654
0.884368737,LY,1.406547458
0.887775551,SAL,1.547723966
0.887775551,LY,1.390745217
0.891182365,SAL,1.522127295
0.891182365,LY,1.375237156
0.894589178,SAL,1.498174389
0.894589178,LY,1.359717034
0.897995992,SAL,1.475790704
0.897995992,LY,1.34366398
0.901402806,SAL,1.454624497
0.901402806,LY,1.326442874
0.904809619,SAL,1.43426848
0.904809619,LY,1.307425171
0.908216433,SAL,1.414262239
0.908216433,LY,1.286161676
0.911623246,SAL,1.394090866
0.911623246,LY,1.262433231
0.91503006,SAL,1.373353055
0.91503006,LY,1.236213238
0.918436874,SAL,1.351836067
0.918436874,LY,1.207790848
0.921843687,SAL,1.329575621
0.921843687,LY,1.177877657
0.925250501,SAL,1.306881591
0.925250501,LY,1.147426761
0.928657315,SAL,1.284186778
0.928657315,LY,1.117378314
0.932064128,SAL,1.261924743
0.932064128,LY,1.088524671
0.935470942,SAL,1.240496452
0.935470942,LY,1.061395139
0.938877756,SAL,1.220192615
0.938877756,LY,1.036205092
0.942284569,SAL,1.201087996
0.942284569,LY,1.012927465
0.945691383,SAL,1.183017258
0.945691383,LY,0.991400232
0.949098196,SAL,1.165715458
0.949098196,LY,0.971500835
0.95250501,SAL,1.148963207
0.95250501,LY,0.953315299
0.955911824,SAL,1.132632023
0.955911824,LY,0.937074506
0.959318637,SAL,1.116782628
0.959318637,LY,0.922952205
0.962725451,SAL,1.101630044
0.962725451,LY,0.911004217
0.966132265,SAL,1.087296515
0.966132265,LY,0.901191027
0.969539078,SAL,1.073813506
0.969539078,LY,0.893297217
0.972945892,SAL,1.061180773
0.972945892,LY,0.886858221
0.976352705,SAL,1.049120699
0.976352705,LY,0.88120019
0.979759519,SAL,1.037095897
0.979759519,LY,0.875493332
0.983166333,SAL,1.024611999
0.983166333,LY,0.868883414
0.986573146,SAL,1.011262451
0.986573146,LY,0.860734033
0.98997996,SAL,0.996770392
0.98997996,LY,0.850688302
0.993386774,SAL,0.981085961
0.993386774,LY,0.838562024
0.996793587,SAL,0.964259437
0.996793587,LY,0.824407105
1.000200401,SAL,0.946418798
1.000200401,LY,0.808603076
1.003607214,SAL,0.927852734
1.003607214,LY,0.791695267
1.007014028,SAL,0.908849302
1.007014028,LY,0.774209438
1.010420842,SAL,0.889568295
1.010420842,LY,0.756607871
1.013827655,SAL,0.870130443
1.013827655,LY,0.739236006
1.017234469,SAL,0.850680374
1.017234469,LY,0.722309679
1.020641283,SAL,0.831395054
1.020641283,LY,0.705998944
1.024048096,SAL,0.812492249
1.024048096,LY,0.690486316
1.02745491,SAL,0.794224073
1.02745491,LY,0.676034414
1.030861723,SAL,0.776869454
1.030861723,LY,0.663042501
