RewardMagnitude,Time,UniqueID,DA,Subj,Date,channel,drug
2,3.5,R69_20141211_0_SAL,0.553562682,R69,20141211,0,SAL
2,3.5,R72_20141212_0_SAL,0.134706708,R72,20141212,0,SAL
2,3.5,R29_20130227_1_SAL,0.094409318,R29,20130227,1,SAL
2,3.5,R32_20130301_1_SAL,0.080523311,R32,20130301,1,SAL
2,3.5,R34_20130301_1_SAL,0.163243391,R34,20130301,1,SAL
2,3.5,R52_20130911_1_SAL,-0.327558353,R52,20130911,1,SAL
2,3.5,R54_20140619_1_SAL,-0.206967661,R54,20140619,1,SAL
2,3.5,R55_20140617_1_SAL,0.26255946,R55,20140617,1,SAL
2,3.5,R57_20140618_1_SAL,0.130060702,R57,20140618,1,SAL
2,3.5,R69_20141211_1_SAL,0.134931196,R69,20141211,1,SAL
2,3.5,R72_20141212_1_SAL,0.110568342,R72,20141212,1,SAL
2,3.5,R29_20130301_0_LY,-0.135382672,R29,20130301,0,LY
2,3.5,R34_20130227_0_LY,0.186274939,R34,20130227,0,LY
2,3.5,R52_20130913_0_LY,0.059017321,R52,20130913,0,LY
2,3.5,R54_20140617_0_LY,0.107485373,R54,20140617,0,LY
2,3.5,R56_20140617_0_LY,-0.273703644,R56,20140617,0,LY
2,3.5,R57_20140620_0_LY,0.445403636,R57,20140620,0,LY
2,3.5,R58_20140618_0_LY,0.270045167,R58,20140618,0,LY
2,3.5,R69_20141209_0_LY,0.648997232,R69,20141209,0,LY
2,3.5,R72_20141210_0_LY,0.293641356,R72,20141210,0,LY
2,3.5,R29_20130301_1_LY,0.253361395,R29,20130301,1,LY
2,3.5,R32_20130227_1_LY,0.424280465,R32,20130227,1,LY
2,3.5,R34_20130227_1_LY,0.32681089,R34,20130227,1,LY
2,3.5,R52_20130913_1_LY,0.05038037,R52,20130913,1,LY
2,3.5,R54_20140617_1_LY,-0.201634624,R54,20140617,1,LY
2,3.5,R55_20140619_1_LY,0.457202377,R55,20140619,1,LY
2,3.5,R57_20140620_1_LY,0.504712205,R57,20140620,1,LY
2,3.5,R69_20141209_1_LY,0.365095761,R69,20141209,1,LY
2,3.5,R72_20141210_1_LY,0.275717443,R72,20141210,1,LY
2,3.5999999999999996,R29_20130227_0_SAL,0.029014606,R29,20130227,0,SAL
2,3.5999999999999996,R34_20130301_0_SAL,-0.060947621,R34,20130301,0,SAL
2,3.5999999999999996,R52_20130911_0_SAL,0.110426646,R52,20130911,0,SAL
2,3.5999999999999996,R54_20140619_0_SAL,-0.037608472,R54,20140619,0,SAL
2,3.5999999999999996,R56_20140619_0_SAL,-1.98591e-4,R56,20140619,0,SAL
2,3.5999999999999996,R57_20140618_0_SAL,-0.007104103,R57,20140618,0,SAL
2,3.5999999999999996,R58_20140620_0_SAL,0.008056104,R58,20140620,0,SAL
2,3.5999999999999996,R69_20141211_0_SAL,0.575488551,R69,20141211,0,SAL
2,3.5999999999999996,R72_20141212_0_SAL,0.014075883,R72,20141212,0,SAL
2,3.5999999999999996,R29_20130227_1_SAL,0.077398725,R29,20130227,1,SAL
2,3.5999999999999996,R32_20130301_1_SAL,0.120344829,R32,20130301,1,SAL
