Period,Time,UniqueID,DA,drug,Subj
Post,-2.5,SAL_M01007385,-0.408739123,SAL,M01007385
Post,-2.5,SAL_M01043741,-0.373788016,SAL,M01043741
Post,-2.5,SAL_M01043743,-0.219368035,SAL,M01043743
Post,-2.5,SAL_M01059148,-0.335719072,SAL,M01059148
Post,-2.5,SAL_M1059151,1.62755005,SAL,M1059151
Post,-2.5,SAL_M1059153,-0.763777992,SAL,M1059153
Post,-2.5,LY_M01007386,0.443231765,LY,M01007386
Post,-2.5,LY_M01007391,-0.152465662,LY,M01007391
Post,-2.5,LY_M01043738,-0.627955766,LY,M01043738
Post,-2.5,LY_M01043742,-0.393716276,LY,M01043742
Post,-2.5,LY_M01059147,-0.241794514,LY,M01059147
Post,-2.5,LY_M1059152,-0.037274199,LY,M1059152
Post,-2.4,SAL_M01007385,-0.34423112300000003,SAL,M01007385
Post,-2.4,SAL_M01043741,-0.198670503,SAL,M01043741
Post,-2.4,SAL_M01043743,-0.30730197,SAL,M01043743
Post,-2.4,SAL_M01059148,-0.361089915,SAL,M01059148
Post,-2.4,SAL_M1059151,-0.46338044,SAL,M1059151
Post,-2.4,SAL_M1059153,-0.70575046,SAL,M1059153
Post,-2.4,LY_M01007386,-4.08564e-4,LY,M01007386
Post,-2.4,LY_M01007391,-0.031044133,LY,M01007391
Post,-2.4,LY_M01043738,-0.481190316,LY,M01043738
Post,-2.4,LY_M01043742,-0.534125965,LY,M01043742
Post,-2.4,LY_M01059147,-0.267807729,LY,M01059147
Post,-2.4,LY_M1059152,-0.204860086,LY,M1059152
Post,-2.3,SAL_M01007385,-0.333229202,SAL,M01007385
Post,-2.3,SAL_M01043741,-0.049418802,SAL,M01043741
Post,-2.3,SAL_M01043743,-0.526242851,SAL,M01043743
Post,-2.3,SAL_M01059148,-0.496584707,SAL,M01059148
Post,-2.3,SAL_M1059151,0.334290759,SAL,M1059151
Post,-2.3,SAL_M1059153,-0.551499739,SAL,M1059153
Post,-2.3,LY_M01007386,0.137193461,LY,M01007386
Post,-2.3,LY_M01007391,0.193212141,LY,M01007391
Post,-2.3,LY_M01043738,-0.415435312,LY,M01043738
Post,-2.3,LY_M01043742,-0.113250094,LY,M01043742
Post,-2.3,LY_M01059147,-0.185947932,LY,M01059147
Post,-2.3,LY_M1059152,-0.170723371,LY,M1059152
Post,-2.2,SAL_M01007385,-0.333100105,SAL,M01007385
Post,-2.2,SAL_M01043741,0.023684031,SAL,M01043741
Post,-2.2,SAL_M01043743,-0.600492991,SAL,M01043743
Post,-2.2,SAL_M01059148,-0.370004443,SAL,M01059148
Post,-2.2,SAL_M1059151,-0.141384253,SAL,M1059151
Post,-2.2,SAL_M1059153,-0.541116419,SAL,M1059153
Post,-2.2,LY_M01007386,-0.362095895,LY,M01007386
Post,-2.2,LY_M01007391,0.203815542,LY,M01007391
Post,-2.2,LY_M01043738,-0.277186344,LY,M01043738
Post,-2.2,LY_M01043742,0.312290843,LY,M01043742
Post,-2.2,LY_M01059147,-0.289493514,LY,M01059147
Post,-2.2,LY_M1059152,-0.245601634,LY,M1059152
Post,-2.1,SAL_M01007385,-0.327190646,SAL,M01007385
Post,-2.1,SAL_M01043741,0.012985774,SAL,M01043741
Post,-2.1,SAL_M01043743,-0.72208635,SAL,M01043743
Post,-2.1,SAL_M01059148,-0.361588315,SAL,M01059148
Post,-2.1,SAL_M1059151,-0.629140999,SAL,M1059151
Post,-2.1,SAL_M1059153,-0.703901629,SAL,M1059153
Post,-2.1,LY_M01007386,0.011821613,LY,M01007386
Post,-2.1,LY_M01007391,0.178641895,LY,M01007391
Post,-2.1,LY_M01043738,-0.250034601,LY,M01043738
Post,-2.1,LY_M01043742,0.223298686,LY,M01043742
Post,-2.1,LY_M01059147,-0.394223593,LY,M01059147
Post,-2.1,LY_M1059152,-0.322207111,LY,M1059152
