subject,date,drug,channel,uniqueID,includeSubj,trialexclude,trialNum,rewardMagnitude,responselatency,MagEntry10sPre,MagEntry10sPost,AUC5s,peak5s,latency2peak5s
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,7,4,10,5,2,4.366410434,0.575091195,0.8
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,8,2,6,5,3,3.645090467,1.266077766,1.1
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,TRUE,9,1,24,2,4,13.50443006,0.776819206,3
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,10,2,7,2,2,11.6795481,1.451598114,3.8
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,11,1,21,2,3,11.23710088,0.874895783,2.4
54,20140619,SAL,0,54_20140619_0_SAL,TRUE,FALSE,12,4,5,1,1,-0.209929449,1.129406159,4.1
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,1,2,13,0,2,10.50995572,0.78982024,1.2
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,2,1,6,1,3,-19.66789328,0.460214685,0.4
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,3,4,13,2,4,-13.22712572,0.458630711,0.7
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,4,1,20,0,4,-13.32477231,0.460888743,1.1
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,5,4,6,0,4,-19.06731971,0.439346884,4.3
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,6,2,6,0,3,-28.35483383,0.221625474,0.2
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,TRUE,7,4,0,1,3,-37.79459267,-0.383343818,3
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,8,2,17,3,2,-25.24979008,0.091643175,0.1
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,9,1,4,1,2,-26.03539067,0.711990053,0.8
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,TRUE,10,2,23,1,3,-28.05964289,0.189684211,2.7
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,FALSE,11,1,14,3,3,-5.303741122,0.566928083,0.6
55,20140617,SAL,0,55_20140617_0_SAL,FALSE,TRUE,12,4,4,3,1,-34.85899607,0.271554875,1.2
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,1,2,12,0,4,8.211891355,0.994589856,4.3
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,2,1,30,0,2,9.27575814,0.592693392,0.8
55,20140619,LY,0,55_20140619_0_LY,FALSE,TRUE,3,4,10,0,3,16.77665636,1.265120753,3.8
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,4,1,17,2,3,14.3415921,0.829935187,2
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,5,4,9,0,2,7.71182943,0.697986225,2.5
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,6,2,27,2,2,23.7065682,1.206145795,3.4
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,7,4,14,0,2,14.74661888,0.923282596,4.9
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,8,2,6,0,6,-5.021535819,0.290797173,0.4
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,9,1,4,0,3,7.595265898,0.519392034,0.9
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,10,2,4,0,2,8.225101212,1.444557845,2.6
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,11,1,2,0,3,-0.371303674,0.948390124,3.3
55,20140619,LY,0,55_20140619_0_LY,FALSE,FALSE,12,4,3,0,1,1.269223192,0.592895894,0.4
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,1,2,10,0,4,-8.046314877,0.267202848,0.7
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,2,1,5,2,2,-1.67068254,0.28368451,0.8
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,3,4,8,1,5,4.893668516,0.686793122,1.7
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,4,1,4,0,5,-5.60633775,0.404099665,1.2
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,5,4,25,2,5,11.30401366,0.592368041,3
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,6,2,2,3,5,9.435509247,0.743506931,3.3
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,7,4,5,1,5,8.543598022,1.136920016,3.7
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,8,2,6,0,5,-27.95705914,0.060301659,0.1
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,9,1,3,0,4,0.011749892,0.304634246,4.4
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,10,2,7,0,4,-8.242651927,0.57145482,1.7
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,11,1,0,1,1,8.969782439,0.34106251,3.6
56,20140617,LY,0,56_20140617_0_LY,TRUE,FALSE,12,4,3,0,1,1.112046332,1.173353682,3.5
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,1,2,8,0,4,3.904114407,0.473592259,1.5
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,2,1,0,3,5,0.329462953,0.292734334,1.2
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,3,4,0,2,2,10.53607053,0.556122835,2
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,4,1,1,7,6,9.694758449,0.573368159,0.9
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,5,4,16,0,3,12.49903836,0.631581288,2.3
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,6,2,6,0,1,4.200984262,0.443458531,1.4
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,7,4,10,2,2,13.99061544,0.888914791,3.7
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,8,2,14,3,2,13.06794757,1.22444905,4.4
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,9,1,6,3,3,13.40537954,0.57510531,2.5
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,10,2,9,0,2,6.928341584,0.392109965,3.7
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,11,1,9,3,2,3.400027909,0.307550215,0.8
56,20140619,SAL,0,56_20140619_0_SAL,TRUE,FALSE,12,4,0,4,0,10.76471448,0.924226557,4.2
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,1,2,12,0,3,3.935551173,0.369881172,1.1
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,TRUE,2,1,4,0,3,7.145173575,0.455329764,0.8
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,3,4,62,0,1,7.664583191,0.513909889,0.6
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,4,1,24,0,4,3.342112831,0.357981907,0.6
