day,session,room,Subj,Feeding,Amph,bin5mins,activity,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins
1,1,53,54,Ad Lib,2.5,-7,321.629545,-3,-2,-1,-1,-0
1,1,53,54,Ad Lib,2.5,-6,153.951609,-3,-2,-1,-1,-0
1,1,53,54,Ad Lib,2.5,-5,162.484316,-2,-1,-1,-0,-0
1,1,53,54,Ad Lib,2.5,-4,164.500236,-2,-1,-1,-0,-0
1,1,53,54,Ad Lib,2.5,-3,143.277829,-1,-1,-0,-0,-0
1,1,53,54,Ad Lib,2.5,-2,147.182518,-1,-0,-0,-0,-0
1,1,53,54,Ad Lib,2.5,-1,196.612043,-0,-0,-0,-0,-0
1,1,53,54,Ad Lib,2.5,0,141.516894,0,0,0,0,0
1,1,53,54,Ad Lib,2.5,1,982.960875,1,1,1,1,1
1,1,53,54,Ad Lib,2.5,2,771.46912,1,1,1,1,1
1,1,53,54,Ad Lib,2.5,3,785.122962,2,1,1,1,1
1,1,53,54,Ad Lib,2.5,4,1122.505816,2,2,1,1,1
1,1,53,54,Ad Lib,2.5,5,2039.091759,3,2,2,1,1
1,1,53,54,Ad Lib,2.5,6,2543.961514,3,2,2,1,1
1,1,53,54,Ad Lib,2.5,7,2211.640307,4,3,2,2,1
1,1,53,54,Ad Lib,2.5,8,2464.618681,4,3,2,2,1
1,1,53,54,Ad Lib,2.5,9,2504.611691,5,3,3,2,1
1,1,53,54,Ad Lib,2.5,10,2706.99894,5,4,3,2,1
1,1,53,54,Ad Lib,2.5,11,2882.154732,6,4,3,2,1
1,1,53,54,Ad Lib,2.5,12,2855.35521,6,4,3,2,1
1,1,53,54,Ad Lib,2.5,13,3069.799795,7,5,4,3,2
1,1,53,54,Ad Lib,2.5,14,2890.597171,7,5,4,3,2
1,1,53,54,Ad Lib,2.5,15,2638.489868,8,5,4,3,2
1,1,53,54,Ad Lib,2.5,16,2535.281804,8,6,4,3,2
1,1,53,54,Ad Lib,2.5,17,2218.469729,9,6,5,3,2
1,1,53,54,Ad Lib,2.5,18,2424.680211,9,6,5,3,2
1,1,53,54,Ad Lib,2.5,19,2030.14241,10,7,5,4,2
1,1,53,54,Ad Lib,2.5,20,1441.091644,10,7,5,4,2
1,1,53,54,Ad Lib,2.5,21,1711.215663,11,7,6,4,2
1,1,53,54,Ad Lib,2.5,22,1459.489631,11,8,6,4,2
1,1,53,54,Ad Lib,2.5,23,1499.182846,12,8,6,4,2
1,1,53,54,Ad Lib,2.5,24,721.027169,12,8,6,4,2
1,1,53,55,Ad Lib,5,-11,1659.062412,-5,-3,-2,-1,-0
1,1,53,55,Ad Lib,5,-10,1234.629392,-5,-3,-2,-1,-0
1,1,53,55,Ad Lib,5,-9,822.800303,-4,-3,-2,-1,-0
1,1,53,55,Ad Lib,5,-8,744.570491,-4,-2,-2,-1,-0
