Period,Time,SAL_M01007385,SAL_M01043741,SAL_M01043743,SAL_M01059148,SAL_M1059151,SAL_M1059153,LY_M01007386,LY_M01007391,LY_M01043738,LY_M01043742,LY_M01059147,LY_M1059152
Post,9.8,-0.006484512,2.123425186,1.153132314,0.184351994,2.145909974,0.255610797,0.748946131,0.261809166,0.533525631,0.482728179,0.155665171,-0.018055745
Post,9.9,-0.033596948,1.874292969,1.082986698,0.078145308,1.731997455,0.296313012,0.973362264,0.304599442,0.478703397,0.396176495,0.252172634,0.014749635
Post,10,-0.041783098,2.136912848,1.066516929,0.051650716,1.256881454,0.232690178,1.291649029,0.386064548,0.478743363,0.384261245,0.07040154,-0.200697768
Post,10.1,-0.065787572,2.000949562,1.182735481,0.012476144,0.561952639,0.176368725,1.204217898,0.337683426,0.361105196,0.445923733,0.199000073,-0.133132529
Post,10.2,-0.15159319,2.034020315,1.157798649,0.036019111,0.217210022,0.280278431,1.543428655,0.335952218,0.196201667,0.465459652,0.312062359,0.07341454
Post,10.3,-0.125791789,2.423121521,1.241797028,0.094286553,0.627732535,0.107584293,2.248660241,0.488588389,0.097468167,0.453551425,0.30662483,0.228493632
Post,10.4,-0.174365249,2.274844255,1.154745443,0.004622382,1.148631649,0.073395748,1.417021506,0.587480031,0.092415195,0.442384446,0.345322195,0.291337312
Post,10.5,-0.087994806,2.203847657,1.129284444,-0.025361008,1.120436612,0.082429136,1.424800472,0.46565072,0.093248531,0.504339017,0.326073209,0.332937294
Post,10.6,-0.086572783,1.734317475,1.150083153,0.042525936,0.984318656,0.13847113,1.503223936,0.563905347,0.326363494,0.356661564,0.288156328,0.276247756
Post,10.7,-0.012165353,1.615606453,1.15091462,0.215532769,1.167765228,0.151865335,1.640287282,0.557592869,0.317116058,-0.053477645,0.278927347,0.239980612
Post,10.8,-0.140170694,1.761454496,1.1471748,0.204775893,0.513219339,0.168534824,1.644216829,0.574038518,0.370111625,-0.202428877,0.404488667,0.07071373
Post,10.9,-0.139584962,2.031207935,1.359200718,0.032175314,1.046517322,0.165148588,1.976292517,0.291576307,0.382943224,-0.22337744,0.374334891,0.003277992
Post,11,-0.174913698,1.679746617,1.34733822,-0.096685456,0.911195379,0.051390392,1.428936084,0.019068126,0.424462392,-0.048662938,0.33485341,-0.033728337
Post,11.1,-0.122018414,1.700272343,1.287184386,-0.098137934,0.33571347,-0.101388393,1.034576196,0.042030947,0.420680356,0.130272898,0.154754868,0.102066279
Post,11.2,-0.089873331,1.926342062,1.240416163,-0.031759351,0.356200156,0.031702467,0.60177259,0.063913739,0.372126699,-0.02128425,0.185087454,0.202205322
Post,11.3,-0.087811538,1.644452269,1.31780061,-0.020749779,-0.075405625,0.063418358,1.468613692,0.039493064,0.192346978,0.015793977,0.32053566,0.207600209
Post,11.4,-0.090188805,1.922275474,1.306485591,-0.101943419,0.407747027,-0.09097413,0.938148984,0.173328985,0.134175266,0.043458513,0.416820909,0.288227285
