RewardMagnitude,Time,R29_20130227_0_SAL,R34_20130301_0_SAL,R52_20130911_0_SAL,R54_20140619_0_SAL,R56_20140619_0_SAL,R57_20140618_0_SAL,R58_20140620_0_SAL,R69_20141211_0_SAL,R72_20141212_0_SAL,R29_20130227_1_SAL,R32_20130301_1_SAL,R34_20130301_1_SAL,R52_20130911_1_SAL,R54_20140619_1_SAL,R55_20140617_1_SAL,R57_20140618_1_SAL,R69_20141211_1_SAL,R72_20141212_1_SAL,R29_20130301_0_LY,R34_20130227_0_LY,R52_20130913_0_LY,R54_20140617_0_LY,R56_20140617_0_LY,R57_20140620_0_LY,R58_20140618_0_LY,R69_20141209_0_LY,R72_20141210_0_LY,R29_20130301_1_LY,R32_20130227_1_LY,R34_20130227_1_LY,R52_20130913_1_LY,R54_20140617_1_LY,R55_20140619_1_LY,R57_20140620_1_LY,R69_20141209_1_LY,R72_20141210_1_LY
1,3.6,-0.040876603,0.006687486,-0.202393449,-0.058360235,-0.048112815,-0.089201663,-0.093048113,-0.055981396,0.014060098,-0.056248891,-0.105504651,-0.067788951,-0.078305809,-0.21534618,0.144892798,0.077985927,-0.045540354,-0.046479042,-0.163885324,-0.035731867,-0.069593689,-0.078648822,0.062863148,0.043832015,-0.256114645,-0.243140168,-0.013836504,-0.132526289,-0.168237869,-0.160702749,-0.049260406,-0.192876499,0.016750973,0.110989172,-0.095928376,-0.189395921
1,3.7,-0.049784569,0.027515014,-0.175307466,-0.070106505,-0.058057915,-0.065484673,-0.100405017,-0.051210654,-0.000224188,-0.037171342,-0.100885507,-0.089636925,-0.039805977,-0.250247995,0.129539725,0.081976855,-0.038057148,-0.054505257,-0.175419189,-0.038927938,-0.070107174,-0.077406057,0.052243496,0.042381726,-0.240522402,-0.255217143,-0.041581662,-0.119091981,-0.15998673,-0.183701079,-0.057148349,-0.18936799,0.007187923,0.086975857,-0.083899703,-0.194170131
1,3.8,-0.058342898,0.042306011,-0.148122285,-0.068194575,-0.058114262,-0.031542156,-0.116951553,-0.024501151,0.00230098,-0.034795677,-0.086055331,-0.079049651,0.005970367,-0.243037162,0.090041025,0.089608211,-0.056847785,-0.067684406,-0.169784076,-0.043839563,-0.079512139,-0.064955958,0.055124875,0.017021896,-0.243534976,-0.227311151,-0.051972012,-0.108676642,-0.158835957,-0.182328298,-0.065174378,-0.15642433,-0.00202923,0.057013329,-0.079172297,-0.185683546
1,3.9,-0.071941927,0.028625585,-0.168474873,-0.077324654,-0.043499627,0.012835785,-0.097373398,0.016331799,-0.016540131,-0.047436989,-0.07275245,-0.110836352,-0.054632996,-0.252365096,0.076728672,0.091079065,-0.047822684,-0.078740178,-0.141926635,-0.066949409,-0.115557702,-0.054691529,0.036513443,0.019197972,-0.218254966,-0.220642695,-0.075806186,-0.094343895,-0.143554612,-0.196494113,-0.088320091,-0.140751546,-0.028743116,0.046120478,-0.088806198,-0.203723717
1,4,-0.08040456,0.025747262,-0.150501951,-0.084252812,-0.065293504,-0.009024168,-0.104980426,0.037062535,-0.029231157,-0.028389091,-0.077430247,-0.109541332,-0.047772658,-0.256685248,0.052068779,0.047320228,-0.00795911,-0.082852625,-0.137315958,-0.071317527,-0.128568281,-0.053550241,0.01932259,0.000315293,-0.214294088,-0.214168256,-0.083626243,-0.089496883,-0.135910754,-0.201685483,-0.089775365,-0.161416332,-0.041258333,0.023050681,-0.081064684,-0.199282337
1,4.1,-0.04784987,0.036624151,-0.136791152,-0.064967347,-0.063672048,-0.027598207,-0.089026357,0.002759177,-0.031508058,-0.028606431,-0.071363942,-0.111254651,-0.020655095,-0.265217867,-0.006085009,0.025108824,0.010977434,-0.088513231,-0.136045836,-0.058371417,-0.130523487,-0.064056965,0.029683574,0.003009121,-0.220478302,-0.185908407,-0.069211991,-0.07949523,-0.13148608,-0.186984685,-0.085949314,-0.152243142,-0.047208902,0.029027273,-0.065323407,-0.174142582
1,4.2,-0.031753338,-0.002848588,-0.114241201,-0.065598018,-0.068863371,-0.086355344,-0.091759621,-0.002395923,-0.018169078,-0.038218429,-0.067121015,-0.118160905,-0.027042153,-0.25044441,-0.05490832,-0.013837983,0.011215763,-0.078907327,-0.09447519,-0.104523051,-0.126805219,-0.067207526,0.035514737,0.003446315,-0.219344573,-0.187398221,-0.073553941,-0.042200273,-0.128896906,-0.201069796,-0.058223074,-0.163248741,-0.065042805,0.044489244,-0.06222211,-0.167179344
1,4.3,-0.046373896,-0.029114357,-0.08059685,-0.058107148,-0.062535944,-0.081950276,-0.066427045,-0.040299811,-0.007716041,-0.053201191,-0.071069106,-0.139999848,-0.008731742,-0.234515242,-0.075812496,-0.024374856,0.02480237,-0.071299713,-0.067954764,-0.122365605,-0.127871211,-0.078507102,0.010613643,0.008743663,-0.207360703,-0.213596945,-0.097720844,-0.032062932,-0.11736156,-0.213300659,-0.055346498,-0.177876893,-0.102060288,0.047070117,-0.028665446,-0.18600586
1,4.4,-0.043613652,-0.056927613,-0.067432618,-0.049898138,-0.063300718,-0.097949507,-0.049023569,-0.044239101,-0.009767863,-0.031987332,-0.056744711,-0.146701145,0.016763369,-0.219401398,-0.079006342,-0.036491068,0.02887309,-0.098340392,-0.053265627,-0.131500091,-0.113939849,-0.085681945,0.011200177,0.016893531,-0.214064936,-0.211152388,-0.091948521,0.002576688,-0.127960074,-0.185204604,-0.057312028,-0.184801734,-0.108571246,0.047692664,-0.015239766,-0.179587011
1,4.5,-0.031815423,-0.068461119,-0.043410891,-0.056114326,-0.052092937,-0.126531837,-0.028555407,-0.049879453,-0.003276137,-0.041047238,-0.045952403,-0.142922713,0.015032271,-0.213883275,-0.116472577,-0.017033323,0.008351238,-0.092855163,-0.06335598,-0.137603527,-0.10427211,-0.063671766,0.007889715,0.000116575,-0.201368205,-0.190670577,-0.077666385,-0.011472062,-0.114209557,-0.186817099,-0.052625619,-0.16442423,-0.137972158,0.041383284,-0.020435474,-0.167638866
