folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,16,900,960,12,3.63999999999987,2,1.15999999999997,0,0,0,0,1,1,4,4,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,17,960,1020,0,0,3,0.0200000000000955,0,0,0,0,1,1,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,18,1020,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,19,1080,1140,0,0,1,1.1400000000001,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,20,1140,1200,1,0.179999999999836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,21,1200,1260,26,9.46000000000049,0,0,0,0,0,0,0,0,11,11,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,22,1260,1320,4,1.3599999999999,1,0.860000000000127,0,0,0,0,0,0,1,1,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,23,1320,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,24,1380,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,25,1440,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
