Day,Subject,Cue,US,CS_id,CS_name,Infusion,InfusionGroup,GroupCueID,CS,na.rm,PreCS,CS_Pre,Latency_mean,Latency_median
6,11,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.7777777777777778,TRUE,0.05555555555555555,0.7222222222222222,8.481111111111112,9.34
6,12,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.7777777777777778,TRUE,0.5,0.2777777777777778,16.325,10.385
6,13,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,0.7777777777777778,TRUE,0,0.7777777777777778,9.135,10.18
6,14,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.2777777777777778,TRUE,0.05555555555555555,0.2222222222222222,10.042222222222222,10.245
6,15,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.1111111111111112,TRUE,0.16666666666666666,0.9444444444444444,13.930555555555557,9.835
6,16,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,1.3333333333333333,TRUE,0.5,0.8333333333333334,6.9477777777777785,7.365
6,17,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.1666666666666665,TRUE,0.5555555555555556,2.611111111111111,3.832222222222222,3.435
6,18,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.2777777777777777,TRUE,0,3.2777777777777777,5.477777777777778,5.14
6,19,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.2777777777777777,TRUE,0.16666666666666666,2.111111111111111,6.266111111111111,6.405
6,20,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,3.4444444444444446,TRUE,0.2222222222222222,3.2222222222222223,3.9394444444444447,3.275
6,21,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,0.6111111111111112,TRUE,0.2222222222222222,0.3888888888888889,8.226666666666667,10.155
6,22,Z,3,10,MagFlash,Pre-Surgery,Saline,Saline: Z+,3.388888888888889,TRUE,0.3888888888888889,3,5.101666666666667,4.375
6,23,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.2222222222222223,TRUE,0.16666666666666666,2.0555555555555554,7.006111111111111,7.56
6,24,Z,3,10,MagFlash,Pre-Surgery,Muscimol,Muscimol: Z+,2.7777777777777777,TRUE,0.05555555555555555,2.7222222222222223,5.6577777777777785,4.62
7,1,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,1.7777777777777777,TRUE,0.2222222222222222,1.5555555555555556,7.345555555555555,9
7,2,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,2.2222222222222223,TRUE,0.8888888888888888,1.3333333333333333,6.105555555555555,6.88
7,3,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,0.4444444444444444,TRUE,0,0.4444444444444444,9.124444444444444,10.22
7,4,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,2.7777777777777777,TRUE,1.3333333333333333,1.4444444444444444,3.36,2.69
7,5,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,2.111111111111111,TRUE,1.3333333333333333,0.7777777777777778,11.823333333333332,6.58
7,6,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,2.888888888888889,TRUE,0.2222222222222222,2.6666666666666665,4.854444444444445,4.25
7,7,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,0.6666666666666666,TRUE,0,0.6666666666666666,9.43,10.43
7,8,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,1.5555555555555556,TRUE,0,1.5555555555555556,7.467777777777778,10.14
7,9,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,0.5555555555555556,TRUE,0.1111111111111111,0.4444444444444444,8.474444444444444,11.08
7,10,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,2.3333333333333335,TRUE,0.4444444444444444,1.8888888888888888,6.566666666666666,6.11
7,11,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,0.2222222222222222,TRUE,0.1111111111111111,0.1111111111111111,10.103333333333333,10.23
7,12,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,0.1111111111111111,TRUE,0.4444444444444444,-0.3333333333333333,9.602222222222222,10.43
7,13,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,0.3333333333333333,TRUE,0.1111111111111111,0.2222222222222222,8.87,10.35
7,14,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,0.4444444444444444,TRUE,0,0.4444444444444444,8.831111111111111,10.3
7,15,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,2.888888888888889,TRUE,0.4444444444444444,2.4444444444444446,5.1977777777777785,3.35
7,16,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,1.4444444444444444,TRUE,0.7777777777777778,0.6666666666666666,5.776666666666666,6.08
7,17,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,4.222222222222222,TRUE,0.2222222222222222,4,5.5922222222222215,5.08
7,18,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,4.333333333333333,TRUE,0.4444444444444444,3.888888888888889,3.793333333333333,3.88
7,19,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,1.5555555555555556,TRUE,0.1111111111111111,1.4444444444444444,7.264444444444445,6.36
7,20,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,3.3333333333333335,TRUE,0.8888888888888888,2.4444444444444446,4.33,3.09
7,21,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,0.5555555555555556,TRUE,0.1111111111111111,0.4444444444444444,9.316666666666666,10.33
7,22,Z,3,10,MagFlash,Post-Surgery,Saline,Saline: Z+,2,TRUE,0.1111111111111111,1.8888888888888888,8.137777777777778,10.21
7,23,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,1,TRUE,0.4444444444444444,0.5555555555555556,7.242222222222222,9.04
7,24,Z,3,10,MagFlash,Post-Surgery,Muscimol,Muscimol: Z+,2.888888888888889,TRUE,0.1111111111111111,2.7777777777777777,6.978888888888889,6.22
