Group,Exclusion,Subj,Period,Day,MagEntries
Saline,1,8,Pre,Day4,0.8125
Saline,1,8,Pre,Day5,0.1875
Saline,1,8,Pre,Day6,0.3125
Saline,1,8,Pre,Day7,1
Saline,1,8,Pre,Day8,0.5625
Saline,1,8,Pre,Day9,0.75
Saline,1,8,Pre,Day10,0.25
Saline,1,8,CS,Day1,0.4375
Saline,1,8,CS,Day2,0.6875
Saline,1,8,CS,Day3,0.5625
Saline,1,8,CS,Day4,0.5
Saline,1,8,CS,Day5,1.9375
Saline,1,8,CS,Day6,2.125
Saline,1,8,CS,Day7,3
Saline,1,8,CS,Day8,4.5
Saline,1,8,CS,Day9,4.5
Saline,1,8,CS,Day10,4.125
Saline,1,8,CSPre,Day1,-0.375
Saline,1,8,CSPre,Day2,-0.125
Saline,1,8,CSPre,Day3,-0.6875
Saline,1,8,CSPre,Day4,-0.3125
Saline,1,8,CSPre,Day5,1.75
Saline,1,8,CSPre,Day6,1.8125
Saline,1,8,CSPre,Day7,2
Saline,1,8,CSPre,Day8,3.9375
Saline,1,8,CSPre,Day9,3.75
Saline,1,8,CSPre,Day10,3.875
