Group,Subject,Cue,Day,TrialBlock2,Period,MagEntries
Muscimol,31,AB,12,3,CSPre,2.5
Muscimol,31,CD,12,1,PreCS,2
Muscimol,31,CD,12,1,CS,0.5
Muscimol,31,CD,12,1,CSPre,-1.5
Muscimol,31,CD,12,2,PreCS,0
Muscimol,31,CD,12,2,CS,0
Muscimol,31,CD,12,2,CSPre,0
Muscimol,31,CD,12,3,PreCS,0.5
Muscimol,31,CD,12,3,CS,4.5
Muscimol,31,CD,12,3,CSPre,4
Saline,4,AB,12,1,PreCS,0
Saline,4,AB,12,1,CS,7.5
Saline,4,AB,12,1,CSPre,7.5
Saline,4,AB,12,2,PreCS,0.5
Saline,4,AB,12,2,CS,4
Saline,4,AB,12,2,CSPre,3.5
Saline,4,AB,12,3,PreCS,0
Saline,4,AB,12,3,CS,3.5
Saline,4,AB,12,3,CSPre,3.5
Saline,4,CD,12,1,PreCS,0
Saline,4,CD,12,1,CS,0
Saline,4,CD,12,1,CSPre,0
Saline,4,CD,12,2,PreCS,0.5
Saline,4,CD,12,2,CS,7.5
Saline,4,CD,12,2,CSPre,7
Saline,4,CD,12,3,PreCS,0
Saline,4,CD,12,3,CS,6.5
Saline,4,CD,12,3,CSPre,6.5
Saline,7,AB,12,1,PreCS,1.5
Saline,7,AB,12,1,CS,5
Saline,7,AB,12,1,CSPre,3.5
Saline,7,AB,12,2,PreCS,0
Saline,7,AB,12,2,CS,4
Saline,7,AB,12,2,CSPre,4
Saline,7,AB,12,3,PreCS,0
Saline,7,AB,12,3,CS,5
Saline,7,AB,12,3,CSPre,5
Saline,7,CD,12,1,PreCS,1
Saline,7,CD,12,1,CS,5
Saline,7,CD,12,1,CSPre,4
Saline,7,CD,12,2,PreCS,0
Saline,7,CD,12,2,CS,5
Saline,7,CD,12,2,CSPre,5
Saline,7,CD,12,3,PreCS,0
Saline,7,CD,12,3,CS,5
Saline,7,CD,12,3,CSPre,5
Saline,11,AB,12,1,PreCS,0
Saline,11,AB,12,1,CS,6
Saline,11,AB,12,1,CSPre,6
Saline,11,AB,12,2,PreCS,1
Saline,11,AB,12,2,CS,5.5
Saline,11,AB,12,2,CSPre,4.5
Saline,11,AB,12,3,PreCS,0
Saline,11,AB,12,3,CS,3.5
Saline,11,AB,12,3,CSPre,3.5
Saline,11,CD,12,1,PreCS,0
Saline,11,CD,12,1,CS,2
Saline,11,CD,12,1,CSPre,2
Saline,11,CD,12,2,PreCS,0
Saline,11,CD,12,2,CS,2
Saline,11,CD,12,2,CSPre,2
Saline,11,CD,12,3,PreCS,0
Saline,11,CD,12,3,CS,2
Saline,11,CD,12,3,CSPre,2
Saline,12,AB,12,1,PreCS,0
Saline,12,AB,12,1,CS,1.5
Saline,12,AB,12,1,CSPre,1.5
Saline,12,AB,12,2,PreCS,0
Saline,12,AB,12,2,CS,3
Saline,12,AB,12,2,CSPre,3
Saline,12,AB,12,3,PreCS,0
Saline,12,AB,12,3,CS,3.5
Saline,12,AB,12,3,CSPre,3.5
Saline,12,CD,12,1,PreCS,0
Saline,12,CD,12,1,CS,1.5
Saline,12,CD,12,1,CSPre,1.5
Saline,12,CD,12,2,PreCS,0
Saline,12,CD,12,2,CS,1
Saline,12,CD,12,2,CSPre,1
Saline,12,CD,12,3,PreCS,0
Saline,12,CD,12,3,CS,0.5
Saline,12,CD,12,3,CSPre,0.5
Saline,17,AB,12,1,PreCS,2.5
Saline,17,AB,12,1,CS,6
Saline,17,AB,12,1,CSPre,3.5
Saline,17,AB,12,2,PreCS,0.5
Saline,17,AB,12,2,CS,6
Saline,17,AB,12,2,CSPre,5.5
Saline,17,AB,12,3,PreCS,0
Saline,17,AB,12,3,CS,3
Saline,17,AB,12,3,CSPre,3
Saline,17,CD,12,1,PreCS,0
Saline,17,CD,12,1,CS,3.5
Saline,17,CD,12,1,CSPre,3.5
Saline,17,CD,12,2,PreCS,0
Saline,17,CD,12,2,CS,0.5
Saline,17,CD,12,2,CSPre,0.5
Saline,17,CD,12,3,PreCS,0
Saline,17,CD,12,3,CS,3
Saline,17,CD,12,3,CSPre,3
Saline,19,AB,12,1,PreCS,1
Saline,19,AB,12,1,CS,6
Saline,19,AB,12,1,CSPre,5
Saline,19,AB,12,2,PreCS,0.5
Saline,19,AB,12,2,CS,8
Saline,19,AB,12,2,CSPre,7.5
Saline,19,AB,12,3,PreCS,1
Saline,19,AB,12,3,CS,6
Saline,19,AB,12,3,CSPre,5
Saline,19,CD,12,1,PreCS,0.5
Saline,19,CD,12,1,CS,2
Saline,19,CD,12,1,CSPre,1.5
Saline,19,CD,12,2,PreCS,0
Saline,19,CD,12,2,CS,5.5
Saline,19,CD,12,2,CSPre,5.5
Saline,19,CD,12,3,PreCS,0
Saline,19,CD,12,3,CS,6.5
Saline,19,CD,12,3,CSPre,6.5
Saline,22,AB,12,1,PreCS,0
Saline,22,AB,12,1,CS,1
Saline,22,AB,12,1,CSPre,1
Saline,22,AB,12,2,PreCS,0
Saline,22,AB,12,2,CS,5.5
Saline,22,AB,12,2,CSPre,5.5
Saline,22,AB,12,3,PreCS,0
Saline,22,AB,12,3,CS,3.5
Saline,22,AB,12,3,CSPre,3.5
Saline,22,CD,12,1,PreCS,0
Saline,22,CD,12,1,CS,5.5
Saline,22,CD,12,1,CSPre,5.5
Saline,22,CD,12,2,PreCS,0
Saline,22,CD,12,2,CS,1.5
Saline,22,CD,12,2,CSPre,1.5
Saline,22,CD,12,3,PreCS,0.5
Saline,22,CD,12,3,CS,4.5
Saline,22,CD,12,3,CSPre,4
Saline,24,AB,12,1,PreCS,0
Saline,24,AB,12,1,CS,6.5
Saline,24,AB,12,1,CSPre,6.5
Saline,24,AB,12,2,PreCS,0
Saline,24,AB,12,2,CS,3.5
Saline,24,AB,12,2,CSPre,3.5
Saline,24,AB,12,3,PreCS,0
Saline,24,AB,12,3,CS,1
Saline,24,AB,12,3,CSPre,1
Saline,24,CD,12,1,PreCS,0
Saline,24,CD,12,1,CS,0
Saline,24,CD,12,1,CSPre,0
Saline,24,CD,12,2,PreCS,0.5
Saline,24,CD,12,2,CS,5
Saline,24,CD,12,2,CSPre,4.5
Saline,24,CD,12,3,PreCS,0
Saline,24,CD,12,3,CS,4
Saline,24,CD,12,3,CSPre,4
Saline,25,AB,12,1,PreCS,1.5
Saline,25,AB,12,1,CS,7.5
Saline,25,AB,12,1,CSPre,6
Saline,25,AB,12,2,PreCS,0
Saline,25,AB,12,2,CS,5
Saline,25,AB,12,2,CSPre,5
Saline,25,AB,12,3,PreCS,0
Saline,25,AB,12,3,CS,5.5
Saline,25,AB,12,3,CSPre,5.5
Saline,25,CD,12,1,PreCS,0
Saline,25,CD,12,1,CS,1
Saline,25,CD,12,1,CSPre,1
Saline,25,CD,12,2,PreCS,0
Saline,25,CD,12,2,CS,2.5
Saline,25,CD,12,2,CSPre,2.5
Saline,25,CD,12,3,PreCS,0
Saline,25,CD,12,3,CS,6.5
Saline,25,CD,12,3,CSPre,6.5
Saline,27,AB,12,1,PreCS,0
Saline,27,AB,12,1,CS,3
Saline,27,AB,12,1,CSPre,3
Saline,27,AB,12,2,PreCS,0
Saline,27,AB,12,2,CS,4.5
Saline,27,AB,12,2,CSPre,4.5
Saline,27,AB,12,3,PreCS,0
Saline,27,AB,12,3,CS,3.5
Saline,27,AB,12,3,CSPre,3.5
Saline,27,CD,12,1,PreCS,0
Saline,27,CD,12,1,CS,1
Saline,27,CD,12,1,CSPre,1
Saline,27,CD,12,2,PreCS,0
Saline,27,CD,12,2,CS,1.5
Saline,27,CD,12,2,CSPre,1.5
Saline,27,CD,12,3,PreCS,0
Saline,27,CD,12,3,CS,6.5
