Group,Subject,Day,Period,Trial,MagEntries
OFC,14,Day22,PreCS,13,0
OFC,14,Day22,PreCS,14,0
OFC,14,Day22,PreCS,15,6
OFC,14,Day22,PreCS,16,0
OFC,14,Day22,CS,1,14
OFC,14,Day22,CS,2,8
OFC,14,Day22,CS,3,9
OFC,14,Day22,CS,4,11
OFC,14,Day22,CS,5,12
OFC,14,Day22,CS,6,7
OFC,14,Day22,CS,7,15
OFC,14,Day22,CS,8,13
OFC,14,Day22,CS,9,8
OFC,14,Day22,CS,10,3
OFC,14,Day22,CS,11,10
OFC,14,Day22,CS,12,7
OFC,14,Day22,CS,13,0
OFC,14,Day22,CS,14,3
OFC,14,Day22,CS,15,9
OFC,14,Day22,CS,16,7
OFC,15,Day22,PreCS,1,2
OFC,15,Day22,PreCS,2,4
OFC,15,Day22,PreCS,3,3
OFC,15,Day22,PreCS,4,1
OFC,15,Day22,PreCS,5,0
OFC,15,Day22,PreCS,6,0
OFC,15,Day22,PreCS,7,5
OFC,15,Day22,PreCS,8,0
OFC,15,Day22,PreCS,9,0
OFC,15,Day22,PreCS,10,3
OFC,15,Day22,PreCS,11,0
OFC,15,Day22,PreCS,12,0
OFC,15,Day22,PreCS,13,0
OFC,15,Day22,PreCS,14,0
OFC,15,Day22,PreCS,15,0
OFC,15,Day22,PreCS,16,0
OFC,15,Day22,CS,1,4
OFC,15,Day22,CS,2,6
OFC,15,Day22,CS,3,10
OFC,15,Day22,CS,4,7
OFC,15,Day22,CS,5,8
OFC,15,Day22,CS,6,11
OFC,15,Day22,CS,7,10
OFC,15,Day22,CS,8,13
OFC,15,Day22,CS,9,0
OFC,15,Day22,CS,10,10
OFC,15,Day22,CS,11,4
OFC,15,Day22,CS,12,15
OFC,15,Day22,CS,13,4
OFC,15,Day22,CS,14,13
OFC,15,Day22,CS,15,7
OFC,15,Day22,CS,16,10
OFC,16,Day22,PreCS,1,2
OFC,16,Day22,PreCS,2,0
OFC,16,Day22,PreCS,3,0
OFC,16,Day22,PreCS,4,0
OFC,16,Day22,PreCS,5,0
OFC,16,Day22,PreCS,6,0
OFC,16,Day22,PreCS,7,0
OFC,16,Day22,PreCS,8,0
OFC,16,Day22,PreCS,9,1
OFC,16,Day22,PreCS,10,0
OFC,16,Day22,PreCS,11,0
OFC,16,Day22,PreCS,12,0
OFC,16,Day22,PreCS,13,0
OFC,16,Day22,PreCS,14,0
OFC,16,Day22,PreCS,15,0
OFC,16,Day22,PreCS,16,0
OFC,16,Day22,CS,1,25
OFC,16,Day22,CS,2,32
OFC,16,Day22,CS,3,26
OFC,16,Day22,CS,4,18
OFC,16,Day22,CS,5,15
OFC,16,Day22,CS,6,0
OFC,16,Day22,CS,7,12
OFC,16,Day22,CS,8,23
OFC,16,Day22,CS,9,6
OFC,16,Day22,CS,10,14
OFC,16,Day22,CS,11,0
OFC,16,Day22,CS,12,20
OFC,16,Day22,CS,13,19
OFC,16,Day22,CS,14,1
OFC,16,Day22,CS,15,0
OFC,16,Day22,CS,16,17
