Experiment,Group,Subject,Stage,Period,Day,MagEntries
SKR073,SHAM,19,Acq,CS,Day 13,4.8125
SKR073,SHAM,19,Acq,CS,Day 14,5.25
SKR073,SHAM,19,Acq,CS,Day 15,4.375
SKR073,SHAM,19,Acq,CS,Day 16,4.8125
SKR073,SHAM,19,Acq,CS,Day 17,6.3125
SKR073,SHAM,19,Acq,CS,Day 18,5.875
SKR073,SHAM,19,Acq,CS,Day 19,6.125
SKR073,SHAM,19,Acq,CS,Day 20,7
SKR073,SHAM,19,Acq,CS,Day 21,7.3125
SKR073,SHAM,21,Acq,PreCS,Day 1,2.1875
SKR073,SHAM,21,Acq,PreCS,Day 2,1.8125
SKR073,SHAM,21,Acq,PreCS,Day 3,1.375
SKR073,SHAM,21,Acq,PreCS,Day 4,1.0625
SKR073,SHAM,21,Acq,PreCS,Day 5,1.0625
SKR073,SHAM,21,Acq,PreCS,Day 6,0
SKR073,SHAM,21,Acq,PreCS,Day 7,0.125
SKR073,SHAM,21,Acq,PreCS,Day 8,0.4375
SKR073,SHAM,21,Acq,PreCS,Day 9,0.875
SKR073,SHAM,21,Acq,PreCS,Day 10,2.3125
SKR073,SHAM,21,Acq,PreCS,Day 11,0.6875
SKR073,SHAM,21,Acq,PreCS,Day 12,0.75
SKR073,SHAM,21,Acq,PreCS,Day 13,0.375
SKR073,SHAM,21,Acq,PreCS,Day 14,0.5
SKR073,SHAM,21,Acq,PreCS,Day 15,0.4375
SKR073,SHAM,21,Acq,PreCS,Day 16,0.4375
SKR073,SHAM,21,Acq,PreCS,Day 17,0.875
SKR073,SHAM,21,Acq,PreCS,Day 18,0.9375
SKR073,SHAM,21,Acq,PreCS,Day 19,0.125
SKR073,SHAM,21,Acq,PreCS,Day 20,0.3125
SKR073,SHAM,21,Acq,PreCS,Day 21,0.3125
SKR073,SHAM,21,Acq,CS,Day 1,4
SKR073,SHAM,21,Acq,CS,Day 2,4.625
SKR073,SHAM,21,Acq,CS,Day 3,3.25
SKR073,SHAM,21,Acq,CS,Day 4,3.5
SKR073,SHAM,21,Acq,CS,Day 5,2.625
SKR073,SHAM,21,Acq,CS,Day 6,1.6875
SKR073,SHAM,21,Acq,CS,Day 7,1.125
SKR073,SHAM,21,Acq,CS,Day 8,3.1875
SKR073,SHAM,21,Acq,CS,Day 9,3.8125
SKR073,SHAM,21,Acq,CS,Day 10,4.4375
SKR073,SHAM,21,Acq,CS,Day 11,4.4375
SKR073,SHAM,21,Acq,CS,Day 12,4.625
SKR073,SHAM,21,Acq,CS,Day 13,4.125
SKR073,SHAM,21,Acq,CS,Day 14,3.5625
SKR073,SHAM,21,Acq,CS,Day 15,4.625
SKR073,SHAM,21,Acq,CS,Day 16,3.5
SKR073,SHAM,21,Acq,CS,Day 17,4.5625
SKR073,SHAM,21,Acq,CS,Day 18,5.3125
SKR073,SHAM,21,Acq,CS,Day 19,3.6875
SKR073,SHAM,21,Acq,CS,Day 20,5.25
SKR073,SHAM,21,Acq,CS,Day 21,9.6875
SKR073,SHAM,23,Acq,PreCS,Day 1,2.1875
SKR073,SHAM,23,Acq,PreCS,Day 2,3.0625
SKR073,SHAM,23,Acq,PreCS,Day 3,1.6875
SKR073,SHAM,23,Acq,PreCS,Day 4,2.25
SKR073,SHAM,23,Acq,PreCS,Day 5,1.5625
SKR073,SHAM,23,Acq,PreCS,Day 6,0.3125
SKR073,SHAM,23,Acq,PreCS,Day 7,0
SKR073,SHAM,23,Acq,PreCS,Day 8,0.75
SKR073,SHAM,23,Acq,PreCS,Day 9,0.6875
SKR073,SHAM,23,Acq,PreCS,Day 10,0.9375
