Day,subject,sex,CS_name,Period,MagEntries,MagDuration
1,36____,M,A-,CS,0.3333333333333333,0.5000000000000001
1,36____,M,A-,Post,0.16666666666666666,0.5066666666666607
1,36____,M,A-,Pre,0,0.773333333333331
1,36____,M,A-,CSPre,0.3333333333333333,-0.2733333333333309
1,36____,M,A+,CS,0.6666666666666666,0.6933333333333471
1,36____,M,A+,Post,0.3333333333333333,0.8166666666666912
1,36____,M,A+,Pre,0.16666666666666666,1.9266666666666388
1,36____,M,A+,CSPre,0.5,-1.2333333333332916
1,36____,M,B-,CS,0.6666666666666666,0.7900000000000205
1,36____,M,B-,Post,0.3333333333333333,0.8366666666666257
1,36____,M,B-,Pre,0.5,0.15999999999999667
1,36____,M,B-,CSPre,0.16666666666666663,0.6300000000000238
1,36____,M,B+,CS,0.5,0.27666666666664247
1,36____,M,B+,Post,0.6666666666666666,2.7100000000000364
1,36____,M,B+,Pre,1.5,1.7100000000000177
1,36____,M,B+,CSPre,-1,-1.4333333333333753
1,37____,M,A-,CS,0,0
1,37____,M,A-,Post,0.3333333333333333,0.2333333333333295
1,37____,M,A-,Pre,0,0
1,37____,M,A-,CSPre,0,0
1,37____,M,A+,CS,0.6666666666666666,0.29000000000000165
1,37____,M,A+,Post,1.8333333333333333,1.223333333333348
1,37____,M,A+,Pre,0,0
1,37____,M,A+,CSPre,0.6666666666666666,0.29000000000000165
1,37____,M,B-,CS,0.16666666666666666,0.09333333333332416
1,37____,M,B-,Post,0.3333333333333333,0.783333333333379
1,37____,M,B-,Pre,0.16666666666666666,0.23666666666667885
1,37____,M,B-,CSPre,0,-0.14333333333335468
1,37____,M,B+,CS,0.5,0.3966666666666472
1,37____,M,B+,Post,1.1666666666666667,1.0599999999999834
1,37____,M,B+,Pre,0,0
1,37____,M,B+,CSPre,0.5,0.3966666666666472
1,38____,M,A-,CS,0.3333333333333333,0.39333333333331666
1,38____,M,A-,Post,1.8333333333333333,3.246666666666575
1,38____,M,A-,Pre,1,2.773333333333312
1,38____,M,A-,CSPre,-0.6666666666666667,-2.3799999999999955
1,38____,M,A+,CS,0.16666666666666666,0.13666666666661817
1,38____,M,A+,Post,0.8333333333333333,4.586666666666673
1,38____,M,A+,Pre,0.16666666666666666,1.9599999999999416
1,38____,M,A+,CSPre,0,-1.8233333333333235
1,38____,M,B-,CS,0.8333333333333333,1.2000000000000075
1,38____,M,B-,Post,0.16666666666666666,2.579999999999965
1,38____,M,B-,Pre,0.5,1.900000000000053
1,38____,M,B-,CSPre,0.33333333333333326,-0.7000000000000455
1,38____,M,B+,CS,0.3333333333333333,0.283333333333303
1,38____,M,B+,Post,0.6666666666666666,4.700000000000013
1,38____,M,B+,Pre,0.8333333333333333,2.126666666666691
1,38____,M,B+,CSPre,-0.49999999999999994,-1.843333333333388
1,39____,M,A-,CS,0.16666666666666666,0.32333333333334235
1,39____,M,A-,Post,1,1.3000000000000114
1,39____,M,A-,Pre,0.5,0.5833333333333547
1,39____,M,A-,CSPre,-0.33333333333333337,-0.26000000000001233
1,39____,M,A+,CS,0.3333333333333333,0.273333333333312
1,39____,M,A+,Post,1.1666666666666667,0.3700000000000045
1,39____,M,A+,Pre,0.3333333333333333,0.20666666666663033
1,39____,M,A+,CSPre,0,0.06666666666668167
