Day,counterbalancing,Pavlovian_cbx,Instrumental_cbx,timebins,subject,Stimulus,LPFreq,LPDur,Reinforcer
Day3,B,Y,B,4,25____,Steady,0,0,0
Day3,B,Y,B,4,43____,Flash,5,0.799999999999955,1
Day3,B,Y,B,4,43____,Steady,0,0,0
Day4,A,X,A,1,17____,Flash,13,2.83999999999988,3
Day4,A,X,A,1,17____,Steady,1,0.64,0
Day4,A,X,A,1,21____,Flash,0,0,0
Day4,A,X,A,1,21____,Steady,0,0,0
Day4,A,X,A,1,23____,Flash,4,1.18000000000001,3
Day4,A,X,A,1,23____,Steady,6,2.72000000000001,2
Day4,A,X,A,1,44____,Flash,9,3.18000000000006,2
Day4,A,X,A,1,44____,Steady,9,0.600000000000016,2
Day4,A,X,A,2,17____,Flash,13,6.44000000000005,5
Day4,A,X,A,2,17____,Steady,2,0.420000000000186,0
Day4,A,X,A,2,21____,Flash,0,0,0
Day4,A,X,A,2,21____,Steady,0,0,0
Day4,A,X,A,2,23____,Flash,2,4.13999999999999,0
Day4,A,X,A,2,23____,Steady,0,0,0
Day4,A,X,A,2,44____,Flash,12,3.3399999999998,2
Day4,A,X,A,2,44____,Steady,0,0,0
Day4,A,X,A,3,17____,Flash,11,3.74000000000001,2
Day4,A,X,A,3,17____,Steady,1,0.679999999999836,0
Day4,A,X,A,3,21____,Flash,1,0.239999999999895,0
Day4,A,X,A,3,21____,Steady,0,0,0
Day4,A,X,A,3,23____,Flash,3,1.24000000000001,3
Day4,A,X,A,3,23____,Steady,3,2.79999999999995,0
Day4,A,X,A,3,44____,Flash,0,0,0
Day4,A,X,A,3,44____,Steady,1,0,1
Day4,A,X,A,4,17____,Flash,12,6.25999999999999,4
Day4,A,X,A,4,17____,Steady,1,1.52000000000021,0
Day4,A,X,A,4,21____,Flash,0,0,0
Day4,A,X,A,4,21____,Steady,0,0,0
Day4,A,X,A,4,23____,Flash,1,0.299999999999955,0
Day4,A,X,A,4,23____,Steady,0,0,0
Day4,A,X,A,4,44____,Flash,0,0,0
Day4,A,X,A,4,44____,Steady,0,0,0
Day4,A,Y,A,1,19____,Flash,12,3.79999999999999,4
Day4,A,Y,A,1,19____,Steady,8,17,3
Day4,A,Y,A,1,42____,Flash,1,1.18000000000001,0
Day4,A,Y,A,1,42____,Steady,0,0,0
Day4,A,Y,A,2,19____,Flash,0,0,0
Day4,A,Y,A,2,19____,Steady,0,0,0
Day4,A,Y,A,2,42____,Flash,1,0.579999999999927,1
Day4,A,Y,A,2,42____,Steady,0,0,0
Day4,A,Y,A,3,19____,Flash,33,32.680000000001,7
Day4,A,Y,A,3,19____,Steady,6,13.0599999999998,4
Day4,A,Y,A,3,42____,Flash,0,0,0
Day4,A,Y,A,3,42____,Steady,0,0,0
Day4,A,Y,A,4,19____,Flash,0,0,0
Day4,A,Y,A,4,19____,Steady,0,0,0
Day4,A,Y,A,4,42____,Flash,2,3.19999999999982,1
Day4,A,Y,A,4,42____,Steady,0,0,0
Day4,B,X,B,1,18____,Flash,0,0,0
Day4,B,X,B,1,18____,Steady,3,1.16000000000003,2
Day4,B,X,B,1,22____,Flash,8,4.85999999999993,5
Day4,B,X,B,1,22____,Steady,4,2.01999999999998,1
Day4,B,X,B,2,18____,Flash,0,0,0
Day4,B,X,B,2,18____,Steady,6,7.17999999999995,2
Day4,B,X,B,2,22____,Flash,16,8.67999999999984,6
Day4,B,X,B,2,22____,Steady,5,2.55999999999995,3
Day4,B,X,B,3,18____,Flash,0,0,0
Day4,B,X,B,3,18____,Steady,2,5.33999999999992,1
Day4,B,X,B,3,22____,Flash,2,0.300000000000182,0
Day4,B,X,B,3,22____,Steady,4,1.51999999999998,2
Day4,B,X,B,4,18____,Flash,0,0,0
Day4,B,X,B,4,18____,Steady,1,5.53999999999996,0
Day4,B,X,B,4,22____,Flash,1,0.0799999999999272,1
Day4,B,X,B,4,22____,Steady,1,0.0199999999999818,0
Day4,B,Y,B,1,20____,Flash,1,0.600000000000023,0
Day4,B,Y,B,1,20____,Steady,5,2.53999999999996,2
Day4,B,Y,B,1,24____,Flash,4,3.22,2
Day4,B,Y,B,1,24____,Steady,1,2.42000000000002,0
Day4,B,Y,B,1,25____,Flash,3,1.66,2
