Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,2,10____,100,Low,F,D+,CSPre,0.75,1.9149999999999636
1.Acquisition,2,11____,50,High,F,A++--,CS,0.5,2.645000000000039
1.Acquisition,2,11____,50,High,F,A++--,Post,1.75,3.4149999999999925
1.Acquisition,2,11____,50,High,F,A++--,Pre,0.5,2.224999999999909
1.Acquisition,2,11____,50,High,F,A++--,CSPre,0,0.42000000000013005
1.Acquisition,2,11____,50,Low,F,B+-,CS,0,2.000000000000057
1.Acquisition,2,11____,50,Low,F,B+-,Post,1,2.744999999999891
1.Acquisition,2,11____,50,Low,F,B+-,Pre,0.25,1.4050000000000011
1.Acquisition,2,11____,50,Low,F,B+-,CSPre,-0.25,0.5950000000000557
1.Acquisition,2,11____,100,High,F,C++,CS,0.75,4.414999999999971
1.Acquisition,2,11____,100,High,F,C++,Post,0,4.860000000000014
1.Acquisition,2,11____,100,High,F,C++,Pre,0,0
1.Acquisition,2,11____,100,High,F,C++,CSPre,0.75,4.414999999999971
1.Acquisition,2,11____,100,Low,F,D+,CS,0.25,3.325000000000017
1.Acquisition,2,11____,100,Low,F,D+,Post,0.25,4.9950000000000045
1.Acquisition,2,11____,100,Low,F,D+,Pre,0.5,1.285000000000025
1.Acquisition,2,11____,100,Low,F,D+,CSPre,-0.25,2.039999999999992
1.Acquisition,2,12____,50,High,F,A++--,CS,0,0
1.Acquisition,2,12____,50,High,F,A++--,Post,1.5,1.5799999999999559
1.Acquisition,2,12____,50,High,F,A++--,Pre,0,1.3499999999999943
1.Acquisition,2,12____,50,High,F,A++--,CSPre,0,-1.3499999999999943
1.Acquisition,2,12____,50,Low,F,B+-,CS,0.25,1.025000000000091
1.Acquisition,2,12____,50,Low,F,B+-,Post,0.25,2.284999999999968
1.Acquisition,2,12____,50,Low,F,B+-,Pre,0.25,2.2199999999999704
1.Acquisition,2,12____,50,Low,F,B+-,CSPre,0,-1.1949999999998795
1.Acquisition,2,12____,100,High,F,C++,CS,0.75,1.2850000000000819
1.Acquisition,2,12____,100,High,F,C++,Post,1.25,2.6950000000000003
1.Acquisition,2,12____,100,High,F,C++,Pre,0.5,0.144999999999996
1.Acquisition,2,12____,100,High,F,C++,CSPre,0.25,1.1400000000000858
1.Acquisition,2,12____,100,Low,F,D+,CS,0.25,0.05500000000000675
1.Acquisition,2,12____,100,Low,F,D+,Post,1,3.109999999999985
1.Acquisition,2,12____,100,Low,F,D+,Pre,0,0
1.Acquisition,2,12____,100,Low,F,D+,CSPre,0.25,0.05500000000000675
1.Acquisition,2,13____,50,High,F,A++--,CS,0,0
1.Acquisition,2,13____,50,High,F,A++--,Post,0.5,0.7350000000000136
1.Acquisition,2,13____,50,High,F,A++--,Pre,0,0
1.Acquisition,2,13____,50,High,F,A++--,CSPre,0,0
1.Acquisition,2,13____,50,Low,F,B+-,CS,0,0.080000000000041
1.Acquisition,2,13____,50,Low,F,B+-,Post,0.25,0.19000000000005474
1.Acquisition,2,13____,50,Low,F,B+-,Pre,2.5,0.9250000000000682
1.Acquisition,2,13____,50,Low,F,B+-,CSPre,-2.5,-0.8450000000000272
1.Acquisition,2,13____,100,High,F,C++,CS,0.5,0.7599999999999909
1.Acquisition,2,13____,100,High,F,C++,Post,0,3.44500000000005
1.Acquisition,2,13____,100,High,F,C++,Pre,0.25,0.19500000000005
1.Acquisition,2,13____,100,High,F,C++,CSPre,0.25,0.5649999999999409
1.Acquisition,2,13____,100,Low,F,D+,CS,0.5,1.2700000000000955
1.Acquisition,2,13____,100,Low,F,D+,Post,0.25,1.3899999999999866
1.Acquisition,2,13____,100,Low,F,D+,Pre,0.5,0.67999999999995
1.Acquisition,2,13____,100,Low,F,D+,CSPre,0,0.5900000000001455
1.Acquisition,2,14____,50,High,F,A++--,CS,0.25,1.2600000000000475
1.Acquisition,2,14____,50,High,F,A++--,Post,1,1.370000000000118
1.Acquisition,2,14____,50,High,F,A++--,Pre,1,0.6150000000000375
1.Acquisition,2,14____,50,High,F,A++--,CSPre,-0.75,0.64500000000001
1.Acquisition,2,14____,50,Low,F,B+-,CS,0.5,2.3150000000000546
1.Acquisition,2,14____,50,Low,F,B+-,Post,0.75,1.3399999999999181
1.Acquisition,2,14____,50,Low,F,B+-,Pre,0.5,1.415000000000042
1.Acquisition,2,14____,50,Low,F,B+-,CSPre,0,0.9000000000000126
1.Acquisition,2,14____,100,High,F,C++,CS,0.5,2.7799999999999443
1.Acquisition,2,14____,100,High,F,C++,Post,2,2.330000000000126
1.Acquisition,2,14____,100,High,F,C++,Pre,0,0
1.Acquisition,2,14____,100,High,F,C++,CSPre,0.5,2.7799999999999443
1.Acquisition,2,14____,100,Low,F,D+,CS,0.5,2.709999999999923
1.Acquisition,2,14____,100,Low,F,D+,Post,1.25,1.0650000000000546
1.Acquisition,2,14____,100,Low,F,D+,Pre,0.25,0.09500000000002726
1.Acquisition,2,14____,100,Low,F,D+,CSPre,0.25,2.614999999999896
1.Acquisition,2,15____,50,High,F,A++--,CS,0,1.25
1.Acquisition,2,15____,50,High,F,A++--,Post,1,2.959999999999951
1.Acquisition,2,15____,50,High,F,A++--,Pre,0,0
1.Acquisition,2,15____,50,High,F,A++--,CSPre,0,1.25
1.Acquisition,2,15____,50,Low,F,B+-,CS,0.5,2.439999999999941
1.Acquisition,2,15____,50,Low,F,B+-,Post,2.5,2.2599999999999056
1.Acquisition,2,15____,50,Low,F,B+-,Pre,0.5,0.054999999999950006
1.Acquisition,2,15____,50,Low,F,B+-,CSPre,0,2.384999999999991
1.Acquisition,2,15____,100,High,F,C++,CS,1,3.7550000000001087
1.Acquisition,2,15____,100,High,F,C++,Post,3.5,4.720000000000027
1.Acquisition,2,15____,100,High,F,C++,Pre,0.25,1.125
1.Acquisition,2,15____,100,High,F,C++,CSPre,0.75,2.6300000000001087
1.Acquisition,2,15____,100,Low,F,D+,CS,0.5,1.270000000000053
1.Acquisition,2,15____,100,Low,F,D+,Post,3.25,2.6999999999997613
1.Acquisition,2,15____,100,Low,F,D+,Pre,0.25,0.4399999999999977
1.Acquisition,2,15____,100,Low,F,D+,CSPre,0.25,0.8300000000000554
1.Acquisition,2,16____,50,High,F,A++--,CS,0,0
1.Acquisition,2,16____,50,High,F,A++--,Post,0,1.1850000000000023
1.Acquisition,2,16____,50,High,F,A++--,Pre,0.25,0.47500000000002274
1.Acquisition,2,16____,50,High,F,A++--,CSPre,-0.25,-0.47500000000002274
1.Acquisition,2,16____,50,Low,F,B+-,CS,1.75,1.879999999999995
1.Acquisition,2,16____,50,Low,F,B+-,Post,1.5,2.384999999999934
1.Acquisition,2,16____,50,Low,F,B+-,Pre,1,2.540000000000049
1.Acquisition,2,16____,50,Low,F,B+-,CSPre,0.75,-0.6600000000000539
1.Acquisition,2,16____,100,High,F,C++,CS,0,0.09000000000003175
1.Acquisition,2,16____,100,High,F,C++,Post,1.75,3.4249999999999545
1.Acquisition,2,16____,100,High,F,C++,Pre,2,1.8300000000000978
1.Acquisition,2,16____,100,High,F,C++,CSPre,-2,-1.740000000000066
1.Acquisition,2,16____,100,Low,F,D+,CS,0.25,0.0199999999999818
1.Acquisition,2,16____,100,Low,F,D+,Post,1,0.8750000000001135
1.Acquisition,2,16____,100,Low,F,D+,Pre,0.5,0.9800000000000041
1.Acquisition,2,16____,100,Low,F,D+,CSPre,-0.25,-0.9600000000000223
1.Acquisition,2,34____,50,High,M,A++--,CS,0.5,1.509999999999991
