Day,subject,Outcome,CSPair,CS_name,Period,MagEntries,MagDuration
4,26____,O1,AB,A_O1,CS,3.6666666666666665,3.8400000000000034
4,26____,O1,AB,A_O1,Post,1.8333333333333333,3.9199999999999395
4,26____,O1,AB,A_O1,Pre,1.3333333333333333,2.0633333333333277
4,26____,O1,AB,A_O1,CSPre,2.333333333333333,1.7766666666666757
4,26____,O1,CD,C_O1,CS,4.5,4.416666666666666
4,26____,O1,CD,C_O1,Post,2.5,3.8333333333332953
4,26____,O1,CD,C_O1,Pre,1.8333333333333333,3.139999999999939
4,26____,O1,CD,C_O1,CSPre,2.666666666666667,1.2766666666667272
4,26____,O2,AB,B_O2,CS,3.5,5.416666666666785
4,26____,O2,AB,B_O2,Post,2.6666666666666665,4.4533333333333145
4,26____,O2,AB,B_O2,Pre,1,1.2066666666666495
4,26____,O2,AB,B_O2,CSPre,2.5,4.210000000000136
4,26____,O2,CD,D_O2,CS,2.3333333333333335,3.2433333333334717
4,26____,O2,CD,D_O2,Post,3.5,5.740000000000113
4,26____,O2,CD,D_O2,Pre,0.8333333333333333,2.966666666666659
4,26____,O2,CD,D_O2,CSPre,1.5000000000000002,0.27666666666681294
4,27____,O1,AB,A_O1,CS,2,2.5300000000001384
4,27____,O1,AB,A_O1,Post,3.8333333333333335,3.5133333333333443
4,27____,O1,AB,A_O1,Pre,0.5,0.42333333333331785
4,27____,O1,AB,A_O1,CSPre,1.5,2.1066666666668206
4,27____,O1,CD,C_O1,CS,2,1.1199999999999097
4,27____,O1,CD,C_O1,Post,3.5,3.6033333333332775
4,27____,O1,CD,C_O1,Pre,0.8333333333333333,1.806666666666691
4,27____,O1,CD,C_O1,CSPre,1.1666666666666667,-0.6866666666667813
4,27____,O2,AB,B_O2,CS,3.6666666666666665,4.256666666666679
4,27____,O2,AB,B_O2,Post,4,3.519999999999934
4,27____,O2,AB,B_O2,Pre,0.16666666666666666,0.380000000000005
4,27____,O2,AB,B_O2,CSPre,3.5,3.876666666666674
4,27____,O2,CD,D_O2,CS,1.3333333333333333,1.8833333333334017
4,27____,O2,CD,D_O2,Post,3.6666666666666665,3.6866666666666053
4,27____,O2,CD,D_O2,Pre,0.16666666666666666,0.056666666666652966
4,27____,O2,CD,D_O2,CSPre,1.1666666666666665,1.8266666666667488
4,28____,O1,AB,A_O1,CS,5.666666666666666,2.4999999999998437
4,28____,O1,AB,A_O1,Post,1.6666666666666665,5.616666666666593
4,28____,O1,AB,A_O1,Pre,1.1666666666666667,0.8633333333334102
4,28____,O1,AB,A_O1,CSPre,4.499999999999999,1.6366666666664336
4,28____,O1,CD,C_O1,CS,3.5,1.6499999999999446
4,28____,O1,CD,C_O1,Post,1.1666666666666667,5.6633333333333935
4,28____,O1,CD,C_O1,Pre,0.8333333333333333,0.3933333333333214
4,28____,O1,CD,C_O1,CSPre,2.666666666666667,1.2566666666666233
4,28____,O2,AB,B_O2,CS,5,2.693333333333328
4,28____,O2,AB,B_O2,Post,2.6666666666666665,5.9366666666667625
4,28____,O2,AB,B_O2,Pre,2.5,1.4066666666666374
4,28____,O2,AB,B_O2,CSPre,2.5,1.2866666666666906
4,28____,O2,CD,D_O2,CS,4.166666666666667,2.523333333333459
4,28____,O2,CD,D_O2,Post,4.5,6.320000000000022
4,28____,O2,CD,D_O2,Pre,0.5,0.363333333333287
4,28____,O2,CD,D_O2,CSPre,3.666666666666667,2.160000000000172
4,29____,O1,AB,A_O1,CS,2.166666666666667,2.253333333333482
4,29____,O1,AB,A_O1,Post,3,4.6266666666667025
4,29____,O1,AB,A_O1,Pre,0.16666666666666666,0.1899999999999788
4,29____,O1,AB,A_O1,CSPre,2.0000000000000004,2.0633333333335035
4,29____,O1,CD,C_O1,CS,2.166666666666667,2.1566666666666143
4,29____,O1,CD,C_O1,Post,2.166666666666667,3.370000000000057
4,29____,O1,CD,C_O1,Pre,0.8333333333333333,1.5033333333332923
4,29____,O1,CD,C_O1,CSPre,1.3333333333333337,0.653333333333322
4,29____,O2,AB,B_O2,CS,3.5,3.3499999999999712
4,29____,O2,AB,B_O2,Post,3,4.766666666666614
4,29____,O2,AB,B_O2,Pre,0.5,0.240000000000028
4,29____,O2,AB,B_O2,CSPre,3,3.109999999999943
4,29____,O2,CD,D_O2,CS,1.5,1.4633333333334233
4,29____,O2,CD,D_O2,Post,6.833333333333334,4.383333333333544
4,29____,O2,CD,D_O2,Pre,0.8333333333333333,1.3933333333333735
4,29____,O2,CD,D_O2,CSPre,0.6666666666666667,0.0700000000000498
4,3_____,O1,AB,A_O1,CS,2.5,3.2900000000000156
4,3_____,O1,AB,A_O1,Post,1,4.39000000000009
4,3_____,O1,AB,A_O1,Pre,1.5,1.9333333333333511
4,3_____,O1,AB,A_O1,CSPre,1,1.3566666666666645
4,3_____,O1,CD,C_O1,CS,1.3333333333333333,1.346666666666657
4,3_____,O1,CD,C_O1,Post,1.6666666666666665,3.5299999999999536
4,3_____,O1,CD,C_O1,Pre,0.16666666666666666,0.24333333333333934
4,3_____,O1,CD,C_O1,CSPre,1.1666666666666665,1.1033333333333175
4,3_____,O2,AB,B_O2,CS,3.5,4.246666666666613
4,3_____,O2,AB,B_O2,Post,1.8333333333333333,5.043333333333218
4,3_____,O2,AB,B_O2,Pre,1,1.3299999999999272
4,3_____,O2,AB,B_O2,CSPre,2.5,2.9166666666666856
