TestCondition,Day,subject,ExcludeSubject,Value,Probability,measure,Freq
Low_100Vs50,Day13,10____,Exclude,Low,P100,LP,0
Low_100Vs50,Day13,10____,Exclude,Low,P50,LP,13
Low_100Vs50,Day13,10____,Exclude,Diff,Low,CS,-5
Low_100Vs50,Day13,10____,Exclude,Diff,Low,LP,-13
Low_100Vs50,Day13,10____,Exclude,PercDiff,Low,LP,-100
Low_100Vs50,Day13,12____,Exclude,Low,P100,CS,0
Low_100Vs50,Day13,12____,Exclude,Low,P50,CS,0
Low_100Vs50,Day13,12____,Exclude,Low,P100,LP,0
Low_100Vs50,Day13,12____,Exclude,Low,P50,LP,0
Low_100Vs50,Day13,12____,Exclude,Diff,Low,CS,0
Low_100Vs50,Day13,12____,Exclude,Diff,Low,LP,0
Low_100Vs50,Day13,12____,Exclude,PercDiff,Low,LP,NA
Low_100Vs50,Day13,13____,Exclude,Low,P100,CS,3
Low_100Vs50,Day13,13____,Exclude,Low,P50,CS,0
Low_100Vs50,Day13,13____,Exclude,Low,P100,LP,11
Low_100Vs50,Day13,13____,Exclude,Low,P50,LP,1
Low_100Vs50,Day13,13____,Exclude,Diff,Low,CS,3
Low_100Vs50,Day13,13____,Exclude,Diff,Low,LP,10
Low_100Vs50,Day13,13____,Exclude,PercDiff,Low,LP,83.33333333333333
Low_100Vs50,Day13,15____,Exclude,Low,P100,CS,0
Low_100Vs50,Day13,15____,Exclude,Low,P50,CS,7
Low_100Vs50,Day13,15____,Exclude,Low,P100,LP,1
Low_100Vs50,Day13,15____,Exclude,Low,P50,LP,15
Low_100Vs50,Day13,15____,Exclude,Diff,Low,CS,-7
Low_100Vs50,Day13,15____,Exclude,Diff,Low,LP,-14
Low_100Vs50,Day13,15____,Exclude,PercDiff,Low,LP,-87.5
Low_100Vs50,Day13,35____,Keep,Low,P100,CS,5
Low_100Vs50,Day13,35____,Keep,Low,P50,CS,2
Low_100Vs50,Day13,35____,Keep,Low,P100,LP,12
Low_100Vs50,Day13,35____,Keep,Low,P50,LP,6
Low_100Vs50,Day13,35____,Keep,Diff,Low,CS,3
Low_100Vs50,Day13,35____,Keep,Diff,Low,LP,6
Low_100Vs50,Day13,35____,Keep,PercDiff,Low,LP,33.333333333333336
Low_100Vs50,Day13,37____,Exclude,Low,P100,CS,0
Low_100Vs50,Day13,37____,Exclude,Low,P50,CS,0
Low_100Vs50,Day13,37____,Exclude,Low,P100,LP,0
Low_100Vs50,Day13,37____,Exclude,Low,P50,LP,0
Low_100Vs50,Day13,37____,Exclude,Diff,Low,CS,0
Low_100Vs50,Day13,37____,Exclude,Diff,Low,LP,0
Low_100Vs50,Day13,37____,Exclude,PercDiff,Low,LP,NA
Low_100Vs50,Day13,39____,Exclude,Low,P100,CS,0
Low_100Vs50,Day13,39____,Exclude,Low,P50,CS,0
Low_100Vs50,Day13,39____,Exclude,Low,P100,LP,0
Low_100Vs50,Day13,39____,Exclude,Low,P50,LP,0
Low_100Vs50,Day13,39____,Exclude,Diff,Low,CS,0
Low_100Vs50,Day13,39____,Exclude,Diff,Low,LP,0
Low_100Vs50,Day13,39____,Exclude,PercDiff,Low,LP,NA
Low_100Vs50,Day13,41____,Keep,Low,P100,CS,16
Low_100Vs50,Day13,41____,Keep,Low,P50,CS,20
Low_100Vs50,Day13,41____,Keep,Low,P100,LP,35
Low_100Vs50,Day13,41____,Keep,Low,P50,LP,49
Low_100Vs50,Day13,41____,Keep,Diff,Low,CS,-4
Low_100Vs50,Day13,41____,Keep,Diff,Low,LP,-14
Low_100Vs50,Day13,41____,Keep,PercDiff,Low,LP,-16.666666666666668
Low_100Vs50,Day16,11____,Keep,Low,P100,CS,5
Low_100Vs50,Day16,11____,Keep,Low,P50,CS,3
Low_100Vs50,Day16,11____,Keep,Low,P100,LP,10
Low_100Vs50,Day16,11____,Keep,Low,P50,LP,6
Low_100Vs50,Day16,11____,Keep,Diff,Low,CS,2
Low_100Vs50,Day16,11____,Keep,Diff,Low,LP,4
Low_100Vs50,Day16,11____,Keep,PercDiff,Low,LP,25
Low_100Vs50,Day16,14____,Exclude,Low,P100,CS,3
Low_100Vs50,Day16,14____,Exclude,Low,P50,CS,0
Low_100Vs50,Day16,14____,Exclude,Low,P100,LP,8
Low_100Vs50,Day16,14____,Exclude,Low,P50,LP,0
Low_100Vs50,Day16,14____,Exclude,Diff,Low,CS,3
Low_100Vs50,Day16,14____,Exclude,Diff,Low,LP,8
Low_100Vs50,Day16,14____,Exclude,PercDiff,Low,LP,100
Low_100Vs50,Day16,16____,Exclude,Low,P100,CS,1
Low_100Vs50,Day16,16____,Exclude,Low,P50,CS,0
Low_100Vs50,Day16,16____,Exclude,Low,P100,LP,2
Low_100Vs50,Day16,16____,Exclude,Low,P50,LP,0
Low_100Vs50,Day16,16____,Exclude,Diff,Low,CS,1
Low_100Vs50,Day16,16____,Exclude,Diff,Low,LP,2
Low_100Vs50,Day16,16____,Exclude,PercDiff,Low,LP,100
Low_100Vs50,Day16,34____,Exclude,Low,P100,CS,4
Low_100Vs50,Day16,34____,Exclude,Low,P50,CS,0
Low_100Vs50,Day16,34____,Exclude,Low,P100,LP,8
Low_100Vs50,Day16,34____,Exclude,Low,P50,LP,1
Low_100Vs50,Day16,34____,Exclude,Diff,Low,CS,4
Low_100Vs50,Day16,34____,Exclude,Diff,Low,LP,7
Low_100Vs50,Day16,34____,Exclude,PercDiff,Low,LP,77.77777777777777
Low_100Vs50,Day16,36____,Exclude,Low,P100,CS,1
Low_100Vs50,Day16,36____,Exclude,Low,P50,CS,0
