TestCondition,protocol,subject,ID_Comparison,ExcludeSubject,Value,Probability,measure,Freq
High_100Vs50,66,13____,Tone_Click,Keep,Diff,High,CS,-34
High_100Vs50,66,13____,Tone_Click,Keep,Diff,High,LP,-84
High_100Vs50,66,13____,Tone_Click,Keep,PercDiff,High,LP,-70
High_100Vs50,66,36____,Click_Tone,Exclude,High,P100,CS,0
High_100Vs50,66,36____,Click_Tone,Exclude,High,P50,CS,7
High_100Vs50,66,36____,Click_Tone,Exclude,High,P100,LP,1
High_100Vs50,66,36____,Click_Tone,Exclude,High,P50,LP,18
High_100Vs50,66,36____,Click_Tone,Exclude,Diff,High,CS,-7
High_100Vs50,66,36____,Click_Tone,Exclude,Diff,High,LP,-17
High_100Vs50,66,36____,Click_Tone,Exclude,PercDiff,High,LP,-89.47368421052632
High_100Vs50,66,38____,Tone_Click,Keep,High,P100,CS,18
High_100Vs50,66,38____,Tone_Click,Keep,High,P50,CS,2
High_100Vs50,66,38____,Tone_Click,Keep,High,P100,LP,41
High_100Vs50,66,38____,Tone_Click,Keep,High,P50,LP,4
High_100Vs50,66,38____,Tone_Click,Keep,Diff,High,CS,16
High_100Vs50,66,38____,Tone_Click,Keep,Diff,High,LP,37
High_100Vs50,66,38____,Tone_Click,Keep,PercDiff,High,LP,82.22222222222223
High_100Vs50,71,16____,Siren_Noise,Exclude,High,P100,CS,4
High_100Vs50,71,16____,Siren_Noise,Exclude,High,P50,CS,0
High_100Vs50,71,16____,Siren_Noise,Exclude,High,P100,LP,8
High_100Vs50,71,16____,Siren_Noise,Exclude,High,P50,LP,0
High_100Vs50,71,16____,Siren_Noise,Exclude,Diff,High,CS,4
High_100Vs50,71,16____,Siren_Noise,Exclude,Diff,High,LP,8
High_100Vs50,71,16____,Siren_Noise,Exclude,PercDiff,High,LP,100
High_100Vs50,71,35____,Noise_Siren,Exclude,High,P100,CS,1
High_100Vs50,71,35____,Noise_Siren,Exclude,High,P50,CS,0
High_100Vs50,71,35____,Noise_Siren,Exclude,High,P100,LP,4
High_100Vs50,71,35____,Noise_Siren,Exclude,High,P50,LP,1
High_100Vs50,71,35____,Noise_Siren,Exclude,Diff,High,CS,1
High_100Vs50,71,35____,Noise_Siren,Exclude,Diff,High,LP,3
High_100Vs50,71,35____,Noise_Siren,Exclude,PercDiff,High,LP,60
High_100Vs50,71,41____,Siren_Noise,Keep,High,P100,CS,1
High_100Vs50,71,41____,Siren_Noise,Keep,High,P50,CS,17
