Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,2,11____,50,High,F,A++--,Pre,0.75,3.7049999999999272
1.Acquisition,2,11____,50,High,F,A++--,CSPre,0.5,2.400000000000176
1.Acquisition,2,11____,50,Low,F,B+-,CS,0.5,4.099999999999966
1.Acquisition,2,11____,50,Low,F,B+-,Post,1.75,4.230000000000075
1.Acquisition,2,11____,50,Low,F,B+-,Pre,0.5,2.6649999999999925
1.Acquisition,2,11____,50,Low,F,B+-,CSPre,0,1.4349999999999734
1.Acquisition,2,11____,100,High,F,C++,CS,1.75,8.004999999999967
1.Acquisition,2,11____,100,High,F,C++,Post,0,9.860000000000014
1.Acquisition,2,11____,100,High,F,C++,Pre,0,0.07500000000000275
1.Acquisition,2,11____,100,High,F,C++,CSPre,1.75,7.929999999999964
1.Acquisition,2,11____,100,Low,F,D+,CS,1.75,6.820000000000022
1.Acquisition,2,11____,100,Low,F,D+,Post,2,9.579999999999956
1.Acquisition,2,11____,100,Low,F,D+,Pre,1,2.420000000000016
1.Acquisition,2,11____,100,Low,F,D+,CSPre,0.75,4.400000000000006
1.Acquisition,2,12____,50,High,F,A++--,CS,0.25,0.605000000000018
1.Acquisition,2,12____,50,High,F,A++--,Post,2,2.254999999999939
1.Acquisition,2,12____,50,High,F,A++--,Pre,0.5,2.674999999999983
1.Acquisition,2,12____,50,High,F,A++--,CSPre,-0.25,-2.0699999999999648
1.Acquisition,2,12____,50,Low,F,B+-,CS,0.5,2.4550000000000978
1.Acquisition,2,12____,50,Low,F,B+-,Post,0.5,3.659999999999968
1.Acquisition,2,12____,50,Low,F,B+-,Pre,0.5,4.409999999999968
1.Acquisition,2,12____,50,Low,F,B+-,CSPre,0,-1.9549999999998704
1.Acquisition,2,12____,100,High,F,C++,CS,1.25,1.5550000000000779
1.Acquisition,2,12____,100,High,F,C++,Post,1.25,3.9450000000000003
1.Acquisition,2,12____,100,High,F,C++,Pre,0.5,0.144999999999996
1.Acquisition,2,12____,100,High,F,C++,CSPre,0.75,1.4100000000000819
1.Acquisition,2,12____,100,Low,F,D+,CS,1.25,1.1050000000000038
1.Acquisition,2,12____,100,Low,F,D+,Post,1.25,3.945000000000021
1.Acquisition,2,12____,100,Low,F,D+,Pre,0.25,0.125
1.Acquisition,2,12____,100,Low,F,D+,CSPre,1,0.9800000000000038
1.Acquisition,2,13____,50,High,F,A++--,CS,0.25,0.17999999999995006
1.Acquisition,2,13____,50,High,F,A++--,Post,1.25,1.625
1.Acquisition,2,13____,50,High,F,A++--,Pre,0.75,1.379999999999995
1.Acquisition,2,13____,50,High,F,A++--,CSPre,-0.5,-1.200000000000045
1.Acquisition,2,13____,50,Low,F,B+-,CS,0.25,0.580000000000041
1.Acquisition,2,13____,50,Low,F,B+-,Post,0.5,0.875000000000057
1.Acquisition,2,13____,50,Low,F,B+-,Pre,3.5,1.4350000000001728
1.Acquisition,2,13____,50,Low,F,B+-,CSPre,-3.25,-0.8550000000001318
1.Acquisition,2,13____,100,High,F,C++,CS,0.75,0.8400000000000319
1.Acquisition,2,13____,100,High,F,C++,Post,0.5,5.835000000000093
1.Acquisition,2,13____,100,High,F,C++,Pre,0.5,0.6500000000000055
1.Acquisition,2,13____,100,High,F,C++,CSPre,0.25,0.19000000000002648
