Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr214_sPIT_Satiety,3,10,Noise,Sucrose,5.5,9.375,4.875,14.25
skr214_sPIT_Satiety,3,10,Tone,Maltodextrin,5,9.5,4.375,13.875
skr214_sPIT_Satiety,3,11,Click,Sucrose,4.25,5.375,4.25,9.625
skr214_sPIT_Satiety,3,11,Noise,Pellet,3,12.75,2.875,15.625
skr214_sPIT_Satiety,3,11,Tone,Maltodextrin,5,1.375,5.125,6.5
skr214_sPIT_Satiety,3,12,Click,Maltodextrin,2.25,5.375,6.625,12
skr214_sPIT_Satiety,3,12,Noise,Pellet,3.25,11.25,4.5,15.75
skr214_sPIT_Satiety,3,12,Tone,Sucrose,5.5,6.25,4.625,10.875
skr214_sPIT_Satiety,3,13,Click,Sucrose,4.5,4.625,6,10.625
skr214_sPIT_Satiety,3,13,Noise,Maltodextrin,4,7.5,4.25,11.75
skr214_sPIT_Satiety,3,13,Tone,Pellet,3,3.875,6,9.875
skr214_sPIT_Satiety,3,14,Click,Pellet,6,10.625,3.5,14.125
skr214_sPIT_Satiety,3,14,Noise,Maltodextrin,4,6.875,5.625,12.5
skr214_sPIT_Satiety,3,14,Tone,Sucrose,3.25,6.75,4.5,11.25
skr214_sPIT_Satiety,3,15,Click,Pellet,4.75,3.75,8.625,12.375
skr214_sPIT_Satiety,3,15,Noise,Sucrose,4,9.125,8.25,17.375
skr214_sPIT_Satiety,3,15,Tone,Maltodextrin,2.75,6.125,6.5,12.625
skr214_sPIT_Satiety,3,16,Click,Sucrose,3,8.25,6.625,14.875
skr214_sPIT_Satiety,3,16,Noise,Maltodextrin,5.25,10.75,4.375,15.125
skr214_sPIT_Satiety,3,16,Tone,Pellet,4.25,10.875,4.5,15.375
skr214_sPIT_Satiety,4,1,Click,Maltodextrin,4.25,9.5,4.75,14.25
skr214_sPIT_Satiety,4,1,Noise,Sucrose,4.25,11.625,4.5,16.125
skr214_sPIT_Satiety,4,1,Tone,Pellet,4.25,6.25,7,13.25
skr214_sPIT_Satiety,4,2,Click,Pellet,3.75,11.25,4,15.25
skr214_sPIT_Satiety,4,2,Noise,Sucrose,5,14.5,3,17.5
skr214_sPIT_Satiety,4,2,Tone,Maltodextrin,3.5,12,4.875,16.875
skr214_sPIT_Satiety,4,3,Click,Sucrose,4,7.5,3,10.5
skr214_sPIT_Satiety,4,3,Noise,Pellet,4,17.75,5.875,23.625
skr214_sPIT_Satiety,4,3,Tone,Maltodextrin,3.5,8.125,6.125,14.25
skr214_sPIT_Satiety,4,4,Click,Maltodextrin,3.75,4.375,3.5,7.875
skr214_sPIT_Satiety,4,4,Noise,Pellet,5,12.75,6.125,18.875
skr214_sPIT_Satiety,4,4,Tone,Sucrose,4.25,8.125,5.375,13.5
skr214_sPIT_Satiety,4,5,Click,Sucrose,3.75,7,3.75,10.75
skr214_sPIT_Satiety,4,5,Noise,Maltodextrin,5,13.375,6.375,19.75
skr214_sPIT_Satiety,4,5,Tone,Pellet,4.25,13.625,4.625,18.25
skr214_sPIT_Satiety,4,6,Click,Pellet,3.75,5.625,4,9.625
skr214_sPIT_Satiety,4,6,Noise,Maltodextrin,4.75,6.75,8.125,14.875
skr214_sPIT_Satiety,4,6,Tone,Sucrose,3.5,2,5.5,7.5
skr214_sPIT_Satiety,4,7,Click,Maltodextrin,4.25,9.25,6.5,15.75
skr214_sPIT_Satiety,4,7,Noise,Sucrose,4.5,13.125,4.125,17.25
skr214_sPIT_Satiety,4,7,Tone,Pellet,2.5,11.5,3.5,15
skr214_sPIT_Satiety,4,8,Click,Sucrose,3.5,-4.625,13,8.375
skr214_sPIT_Satiety,4,8,Noise,Pellet,4.25,7.875,6.5,14.375
skr214_sPIT_Satiety,4,8,Tone,Maltodextrin,3.75,4.75,5.125,9.875
skr214_sPIT_Satiety,4,9,Click,Maltodextrin,4,9.125,3.75,12.875
skr214_sPIT_Satiety,4,9,Noise,Sucrose,4.5,17.625,3.5,21.125
skr214_sPIT_Satiety,4,9,Tone,Pellet,3.75,9.5,3.875,13.375
skr214_sPIT_Satiety,4,10,Click,Pellet,4.25,8.25,5.25,13.5
skr214_sPIT_Satiety,4,10,Noise,Sucrose,4.5,7.875,5,12.875
skr214_sPIT_Satiety,4,10,Tone,Maltodextrin,3.25,4.875,6.75,11.625
skr214_sPIT_Satiety,4,11,Click,Sucrose,5,7.5,4.125,11.625
skr214_sPIT_Satiety,4,11,Noise,Pellet,2.75,12.375,3.625,16
skr214_sPIT_Satiety,4,11,Tone,Maltodextrin,4.75,5.125,6.375,11.5
skr214_sPIT_Satiety,4,12,Click,Maltodextrin,4,6.375,4.25,10.625
skr214_sPIT_Satiety,4,12,Noise,Pellet,2.75,12,4.25,16.25
skr214_sPIT_Satiety,4,12,Tone,Sucrose,5.75,8.625,3.25,11.875
skr214_sPIT_Satiety,4,13,Click,Sucrose,5,5.875,6,11.875
skr214_sPIT_Satiety,4,13,Noise,Maltodextrin,4.25,1.125,18.25,19.375
skr214_sPIT_Satiety,4,13,Tone,Pellet,3.25,4.25,7.375,11.625
skr214_sPIT_Satiety,4,14,Click,Pellet,4,10,4.25,14.25
skr214_sPIT_Satiety,4,14,Noise,Maltodextrin,4.75,7.5,4.5,12
skr214_sPIT_Satiety,4,14,Tone,Sucrose,4.25,6.375,4.5,10.875
skr214_sPIT_Satiety,4,15,Click,Pellet,6,7.25,5.5,12.75
skr214_sPIT_Satiety,4,15,Noise,Sucrose,3,8.375,5,13.375
skr214_sPIT_Satiety,4,15,Tone,Maltodextrin,3.5,2.125,7.5,9.625
skr214_sPIT_Satiety,4,16,Click,Sucrose,3.75,11.25,4.125,15.375
skr214_sPIT_Satiety,4,16,Noise,Maltodextrin,4.25,10.125,4.75,14.875
skr214_sPIT_Satiety,4,16,Tone,Pellet,4,10.75,4.25,15
skr214_sPIT_Satiety,5,1,Click,Maltodextrin,5,9.5,4.5,14
skr214_sPIT_Satiety,5,1,Noise,Sucrose,3.5,10.875,6.5,17.375
skr214_sPIT_Satiety,5,1,Tone,Pellet,4.75,9,4.625,13.625
skr214_sPIT_Satiety,5,2,Click,Pellet,3.5,16.75,4.25,21
skr214_sPIT_Satiety,5,2,Noise,Sucrose,5.75,12.125,5.125,17.25
skr214_sPIT_Satiety,5,2,Tone,Maltodextrin,3.75,10.75,5.75,16.5
skr214_sPIT_Satiety,5,3,Click,Sucrose,7,3.625,3.625,7.25
skr214_sPIT_Satiety,5,3,Noise,Pellet,3.5,15.25,5.875,21.125
skr214_sPIT_Satiety,5,3,Tone,Maltodextrin,3,3.125,3.625,6.75
skr214_sPIT_Satiety,5,4,Click,Maltodextrin,5.25,2.375,7.125,9.5
skr214_sPIT_Satiety,5,4,Noise,Pellet,4.75,16,5.75,21.75
skr214_sPIT_Satiety,5,4,Tone,Sucrose,2,9,6,15
skr214_sPIT_Satiety,5,5,Click,Sucrose,4.25,4.25,4.25,8.5
skr214_sPIT_Satiety,5,5,Noise,Maltodextrin,4.25,10.875,3,13.875
skr214_sPIT_Satiety,5,5,Tone,Pellet,4.25,9.625,1.75,11.375
skr214_sPIT_Satiety,5,6,Click,Pellet,4.75,5.875,4.125,10
skr214_sPIT_Satiety,5,6,Noise,Maltodextrin,3.75,12.875,4.5,17.375
skr214_sPIT_Satiety,5,6,Tone,Sucrose,4.25,2.625,5.625,8.25
skr214_sPIT_Satiety,5,7,Click,Maltodextrin,4.5,7.5,4.375,11.875
skr214_sPIT_Satiety,5,7,Noise,Sucrose,2.25,14,4.75,18.75
skr214_sPIT_Satiety,5,7,Tone,Pellet,4,12,3.625,15.625
skr214_sPIT_Satiety,5,8,Click,Sucrose,4.5,4.375,4.5,8.875
skr214_sPIT_Satiety,5,8,Noise,Pellet,3.5,8.875,8.125,17
skr214_sPIT_Satiety,5,8,Tone,Maltodextrin,2.5,-0.375,9.5,9.125
skr214_sPIT_Satiety,5,9,Click,Maltodextrin,2.25,10.375,3.375,13.75
skr214_sPIT_Satiety,5,9,Noise,Sucrose,4.75,18.5,2.25,20.75
skr214_sPIT_Satiety,5,9,Tone,Pellet,5.25,14.125,4.125,18.25
skr214_sPIT_Satiety,5,10,Click,Pellet,2,3.75,5.5,9.25
