Experiment,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr214_sPIT_Satiety,RR10,3,3,Maltodextrin,right,180,20,1273.99,8.477303589510122,141,6.640554478449595
skr214_sPIT_Satiety,RR10,3,4,Maltodextrin,right,137,20,928.99,8.84831914229432,99,6.394040840052099
skr214_sPIT_Satiety,RR10,3,5,Maltodextrin,right,148,20,921.99,9.63134090391436,125,8.134578466143884
skr214_sPIT_Satiety,RR10,3,6,Maltodextrin,right,262,20,1168.99,13.447505966689194,131,6.723752983344597
skr214_sPIT_Satiety,RR10,3,7,Maltodextrin,right,162,20,558.99,17.38850426662373,99,10.626308162936725
skr214_sPIT_Satiety,RR10,3,8,Maltodextrin,right,198,20,946.99,12.54501103496341,112,7.096167858161121
skr214_sPIT_Satiety,RR10,3,9,Maltodextrin,Left,327,20,1379.99,14.217494329669055,172,7.47831506025406
skr214_sPIT_Satiety,RR10,3,10,Maltodextrin,Left,227,20,831.99,16.370389067176287,105,7.572206396711499
skr214_sPIT_Satiety,RR10,3,11,Maltodextrin,Left,228,20,634.99,21.543646356635538,94,8.882029638262019
skr214_sPIT_Satiety,RR10,3,12,Maltodextrin,Left,174,20,546.99,19.08627214391488,94,10.310974606482752
skr214_sPIT_Satiety,RR10,3,13,Maltodextrin,Left,164,20,677.99,14.513488399533916,110,9.73465685334592
skr214_sPIT_Satiety,RR10,3,14,Maltodextrin,Left,205,20,1161.99,10.585289030026075,123,6.351173418015645
skr214_sPIT_Satiety,RR10,3,15,Maltodextrin,Left,239,20,878.99,16.314178773364883,133,9.078601576809747
skr214_sPIT_Satiety,RR10,3,16,Maltodextrin,Left,178,20,477.99,22.343563672880187,96,12.050461306721898
skr214_sPIT_Satiety,RR10,4,1,Maltodextrin,right,205,20,965.99,12.733051066781231,92,5.714344868994503
skr214_sPIT_Satiety,RR10,4,2,Maltodextrin,right,335,20,1018.99,19.725414380906585,152,8.950038763874032
skr214_sPIT_Satiety,RR10,4,3,Maltodextrin,right,225,20,1491.99,9.04831801821728,133,5.348561317435103
skr214_sPIT_Satiety,RR10,4,4,Maltodextrin,right,249,20,996.99,14.98510516655132,140,8.425360334607166
skr214_sPIT_Satiety,RR10,4,5,Maltodextrin,right,229,20,647.99,21.204030926403185,96,8.889026065217054
skr214_sPIT_Satiety,RR10,4,6,Maltodextrin,right,192,20,501.99,22.94866431602223,57,6.812884718819101
skr214_sPIT_Satiety,RR10,4,7,Maltodextrin,right,184,20,718.99,15.354872807688565,99,8.261589173702
skr214_sPIT_Satiety,RR10,4,8,Maltodextrin,right,214,20,531.99,24.135792026165905,74,8.346021541758304
skr214_sPIT_Satiety,RR10,4,9,Maltodextrin,Left,178,20,361.99,29.503577446890798,52,8.619022624934392
skr214_sPIT_Satiety,RR10,4,10,Maltodextrin,Left,159,20,343.99,27.733364341986682,60,10.46542050641007
skr214_sPIT_Satiety,RR10,4,11,Maltodextrin,Left,160,20,372.99,25.73795544116464,42,6.756213303305719
skr214_sPIT_Satiety,RR10,4,12,Maltodextrin,Left,149,20,443.99,20.13558863938377,51,6.892047118178337
skr214_sPIT_Satiety,RR10,4,13,Maltodextrin,Left,123,20,417.99,17.655924782889542,55,7.894925715926218
skr214_sPIT_Satiety,RR10,4,14,Maltodextrin,Left,186,20,633.99,17.602801306014292,94,8.896039369706147
skr214_sPIT_Satiety,RR10,4,15,Maltodextrin,Left,198,20,605.99,19.604283899074243,88,8.713015066255219
skr214_sPIT_Satiety,RR10,4,16,Maltodextrin,Left,243,20,474.99,30.695383060696013,90,11.368660392850375
skr214_sPIT_Satiety,RR10,5,1,Maltodextrin,right,199,20,626.99,19.04336592290148,66,6.315890205585417
skr214_sPIT_Satiety,RR10,5,2,Maltodextrin,right,194,20,526.99,22.08770564906355,73,8.311353156606387
skr214_sPIT_Satiety,RR10,5,3,Maltodextrin,right,253,20,880.99,17.230615557497813,67,4.563048388744481
skr214_sPIT_Satiety,RR10,5,4,Maltodextrin,right,94,20,513.99,10.972976127940232,65,7.587696258682076
skr214_sPIT_Satiety,RR10,5,5,Maltodextrin,right,206,20,445.99,27.71362586605081,74,9.955380165474562
skr214_sPIT_Satiety,RR10,5,6,Maltodextrin,right,265,20,694.99,22.87802702197154,63,5.438927178808328
skr214_sPIT_Satiety,RR10,5,7,Maltodextrin,right,209,20,658.99,19.029120320490446,78,7.101776961714139
skr214_sPIT_Satiety,RR10,5,8,Maltodextrin,right,228,20,573.99,23.833167825223434,50,5.226571891496367
skr214_sPIT_Satiety,RR10,5,9,Maltodextrin,Left,161,20,295.99,32.63623771073347,49,9.932767998918882
skr214_sPIT_Satiety,RR10,5,10,Maltodextrin,Left,289,20,610.99,28.38016988821421,77,7.5614985515311215
skr214_sPIT_Satiety,RR10,5,11,Maltodextrin,Left,169,20,315.99,32.08962308933827,46,8.734453621950061
